genes	com_341	com_738	com_862	com_876	com_900	com_908	com_947	com_962	com_JB	locus_tag	ftype	bp	EC	COG	product
agrA	1	1	1	1	1	1	1	1	1	IFGBOHMA_01946	CDS	717		COG3279	Accessory gene regulator A
agrB	1	1	1	1	1	1	1	1	1	HGOKLDLI_02655	CDS	570	3.4.-.-	COG4512	Accessory gene regulator protein B
aguA	1	1	1	1	1	1	1	1	1	AGEJDLBK_02632	CDS	1035	3.5.3.12	COG2957	Putative agmatine deiminase
ahcY	1	1	1	1	1	1	1	1	1	GGCDANDK_02723	CDS	1461	3.3.1.1		Adenosylhomocysteinase
ahpC	1	1	1	1	1	1	1	1	1	LKFOIOBI_01645	CDS	570	1.11.1.15	COG0450	Alkyl hydroperoxide reductase C
ahpF	1	1	1	1	1	1	1	1	1	FAGDNHIP_01417	CDS	1524	1.8.1.-		Alkyl hydroperoxide reductase subunit F
ala	1	1	1	1	1	1	1	1	1	FOMIDEFL_01301	CDS	987	1.4.1.1		Alanine dehydrogenase
alaC	1	1	1	1	1	1	1	1	1	IHGJPHMH_01299	CDS	1137	2.6.1.2	COG0436	Glutamate-pyruvate aminotransferase AlaC
alaS	1	1	1	1	1	1	1	1	1	GGCDANDK_01305	CDS	2655	6.1.1.7	COG0013	Alanine--tRNA ligase
ald	1	1	1	1	1	1	1	1	1	HAJKDPKL_03343	CDS	1116	1.4.1.1	COG0686	Alanine dehydrogenase
ald2	1	1	1	1	1	1	1	1	1	IFGBOHMA_01817	CDS	1116	1.4.1.1		Alanine dehydrogenase 2
aldA	1	1	1	1	1	1	1	1	1	AGDBFNGI_02390	CDS	1467	1.2.1.3		Putative aldehyde dehydrogenase AldA
aldC	1	1	1	1	1	1	1	1	1	MOFHFCGN_02785	CDS	705	4.1.1.5	COG3527	Alpha-acetolactate decarboxylase
algC	1	1	1	1	1	1	1	1	1	IOFEINNK_01691	CDS	1476	5.4.2.2		Phosphomannomutase/phosphoglucomutase
alkA	1	1	1	1	1	1	1	1	1	EBMLHIBA_03453	CDS	1491		COG0122	putative bifunctional transcriptional activator/DNA repair enzyme AlkA
alkB	1	1	1	1	1	1	1	1	1	LDOPIMGM_01921	CDS	723	1.14.11.33	COG3145	Alpha-ketoglutarate-dependent dioxygenase AlkB
alkH	1	1	1	1	1	1	1	1	1	LKFOIOBI_01900	CDS	1380	1.2.1.3		Aldehyde dehydrogenase
alkJ	1	1	1	1	1	1	1	1	1	AGEJDLBK_03339	CDS	1452	1.1.99.-		Alcohol dehydrogenase [acceptor]
allB	1	1	1	1	1	1	1	1	1	IOFEINNK_02124	CDS	1380	3.5.2.5	COG0044	Allantoinase
allE	1	1	1	1	1	1	1	1	1	ADMANBBD_01252	CDS	825	3.5.3.26	COG3257	(S)-ureidoglycine aminohydrolase
allR	1	1	1	1	1	1	1	1	1	IOFEINNK_03398	CDS	807		COG1414	HTH-type transcriptional repressor AllR
alr	1	1	1	1	1	1	1	1	1	JOIMIODL_03453	CDS	1173	5.1.1.1	COG0787	Alanine racemase
alr1	1	1	1	1	1	1	1	1	1	MOFHFCGN_02603	CDS	1149	5.1.1.1	COG0787	Alanine racemase 1
alsB	1	1	1	1	1	1	1	1	1	NGPGJBKC_00582	CDS	972		COG1879	D-allose-binding periplasmic protein
alsT	1	1	1	1	1	1	1	1	1	LKFOIOBI_01491	CDS	1446		COG1115	Amino-acid carrier protein AlsT
amaA	1	1	1	1	1	1	1	1	1	HGOKLDLI_02567	CDS	1206	3.5.1.14		N-acyl-L-amino acid amidohydrolase
amaB	1	1	1	1	1	1	1	1	1	IHGJPHMH_00425	CDS	1218	3.5.1.87		N-carbamoyl-L-amino acid hydrolase
amdA	1	1	1	1	1	1	1	1	1	ADMANBBD_03554	CDS	1143	3.5.1.4	COG2421	Acetamidase
amiC	1	1	1	1	1	1	1	1	1	BGMKIKPO_01296	CDS	873	3.5.1.28	COG0860	N-acetylmuramoyl-L-alanine amidase AmiC
amiD	1	1	1	1	1	1	1	1	1	ADMANBBD_01195	CDS	1428	3.5.1.4	COG0154	Putative amidase AmiD
ampH	1	1	1	1	1	1	1	1	1	ADMANBBD_02738	CDS	1176	3.4.-.-	COG1680	D-alanyl-D-alanine-carboxypeptidase/endopeptidase AmpH
amt	1	1	1	1	1	1	1	1	1	AGBMBALL_01700	CDS	1419			Ammonia channel
andAa	1	1	1	1	1	1	1	1	1	DNNBHHGK_03253	CDS	1212	1.18.1.3		Anthranilate 1,2-dioxygenase system ferredoxin--NAD(+) reductase component
aniA	1	1	1	1	1	1	1	1	1	AGBMBALL_01788	CDS	2829	1.7.2.1	COG2132	Copper-containing nitrite reductase
anmK	1	1	1	1	1	1	1	1	1	LDOPIMGM_00623	CDS	1212	2.7.1.170	COG2377	Anhydro-N-acetylmuramic acid kinase
ansA	1	1	1	1	1	1	1	1	1	HAJKDPKL_00334	CDS	1062	3.5.1.1	COG0252	putative L-asparaginase
ansB	1	1	1	1	1	1	1	1	1	PIPEENFB_02213	CDS	975	3.5.1.1		L-asparaginase
apeB	1	1	1	1	1	1	1	1	1	HAJKDPKL_02716	CDS	1308	3.4.11.-	COG1362	putative M18 family aminopeptidase 2
appA	1	1	1	1	1	1	1	1	1	LDOPIMGM_03507	CDS	1551			Oligopeptide-binding protein AppA
apt	1	1	1	1	1	1	1	1	1	DNNBHHGK_02579	CDS	552	2.4.2.7		Adenine phosphoribosyltransferase
aqpZ	1	1	1	1	1	1	1	1	1	LDOPIMGM_01427	CDS	759		COG0580	Aquaporin Z
araA	1	1	1	1	1	1	1	1	1	NGPGJBKC_01662	CDS	1509	5.3.1.4		L-arabinose isomerase
araB	1	1	1	1	1	1	1	1	1	AGBMBALL_02710	CDS	1647	2.7.1.16		Ribulokinase
araC	1	1	1	1	1	1	1	1	1	FOMIDEFL_03043	CDS	1713	4.2.1.25		L-arabonate dehydratase
araJ	1	1	1	1	1	1	1	1	1	DNNBHHGK_00593	CDS	1347		COG2814	Putative transporter AraJ
araP	1	1	1	1	1	1	1	1	1	LJFCBDKD_02888	CDS	1164		COG1175	L-arabinose transport system permease protein AraP
araQ	1	1	1	1	1	1	1	1	1	JOIMIODL_02016	CDS	912		COG0395	L-arabinose transport system permease protein AraQ
araR	1	1	1	1	1	1	1	1	1	LKFOIOBI_00012	CDS	1080		COG1609	Arabinose metabolism transcriptional repressor
arcA	1	1	1	1	1	1	1	1	1	MCMEOHNO_01012	CDS	1239	3.5.3.6	COG2235	Arginine deiminase
arcB	1	1	1	1	1	1	1	1	1	HGOKLDLI_02577	CDS	963	1.5.1.49		Delta(1)-pyrroline-2-carboxylate reductase
arfB	1	1	1	1	1	1	1	1	1	JOIMIODL_03561	CDS	426	3.1.1.29	COG1186	Peptidyl-tRNA hydrolase ArfB
arg	1	1	1	1	1	1	1	1	1	LKFOIOBI_02654	CDS	906	3.5.3.1		Arginase
argA	1	1	1	1	1	1	1	1	1	MCCDGJGB_02496	CDS	603	2.3.1.1	COG1246	Amino-acid acetyltransferase
argB	1	1	1	1	1	1	1	1	1	JOIMIODL_02227	CDS	948	2.7.2.8	COG0548	Acetylglutamate kinase
argC	1	1	1	1	1	1	1	1	1	GGCDANDK_03720	CDS	1110	1.2.1.38	COG0002	N-acetyl-gamma-glutamyl-phosphate reductase
argD	1	1	1	1	1	1	1	1	1	AGEJDLBK_03463	CDS	1218	2.6.1.11	COG4992	Acetylornithine aminotransferase
argF	1	1	1	1	1	1	1	1	1	AGDBFNGI_03756	CDS	924	2.1.3.3	COG0078	Ornithine carbamoyltransferase
argG	1	1	1	1	1	1	1	1	1	JOIMIODL_02223	CDS	1239	6.3.4.5	COG0137	Argininosuccinate synthase
argH	1	1	1	1	1	1	1	1	1	LKFOIOBI_02097	CDS	1374	4.3.2.1	COG0165	Argininosuccinate lyase
argJ	1	1	1	1	1	1	1	1	1	MCCDGJGB_03455	CDS	1179		COG1364	Arginine biosynthesis bifunctional protein ArgJ
argR	1	1	1	1	1	1	1	1	1	AGEJDLBK_03465	CDS	534		COG1438	Arginine repressor
argS	1	1	1	1	1	1	1	1	1	EBMLHIBA_02795	CDS	1767	6.1.1.19	COG0018	Arginine--tRNA ligase
arlR	1	1	1	1	1	1	1	1	1	HGOKLDLI_01204	CDS	663		COG0745	Response regulator ArlR
arlS	1	1	1	1	1	1	1	1	1	HGOKLDLI_01203	CDS	1356	2.7.13.3	COG0642	Signal transduction histidine-protein kinase ArlS
arnT	1	1	1	1	1	1	1	1	1	GGCDANDK_03460	CDS	2097	2.4.2.43		Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase
aroA	1	1	1	1	1	1	1	1	1	MOFHFCGN_01110	CDS	1299	2.5.1.19		3-phosphoshikimate 1-carboxyvinyltransferase
aroB	1	1	1	1	1	1	1	1	1	LKFOIOBI_01167	CDS	1068	4.2.3.4		3-dehydroquinate synthase
aroC	1	1	1	1	1	1	1	1	1	PIPEENFB_02223	CDS	1167	4.2.3.5	COG0082	Chorismate synthase
aroD	1	1	1	1	1	1	1	1	1	IGOCDMGC_00182	CDS	720	4.2.1.10		3-dehydroquinate dehydratase
aroE	1	1	1	1	1	1	1	1	1	DNNBHHGK_01664	CDS	873	1.1.1.25	COG0169	Shikimate dehydrogenase (NADP(+))
aroG	1	1	1	1	1	1	1	1	1	AGBMBALL_00967	CDS	1134	2.5.1.54	COG0722	Phospho-2-dehydro-3-deoxyheptonate aldolase, Phe-sensitive
aroH	1	1	1	1	1	1	1	1	1	ADMANBBD_03342	CDS	1395	2.5.1.54	COG3200	Phospho-2-dehydro-3-deoxyheptonate aldolase
aroK	1	1	1	1	1	1	1	1	1	LDOPIMGM_02485	CDS	624	2.7.1.71	COG0703	Shikimate kinase
aroP	1	1	1	1	1	1	1	1	1	DNNBHHGK_02471	CDS	1443		COG1113	Aromatic amino acid transport protein AroP
aroQ	1	1	1	1	1	1	1	1	1	IOFEINNK_01589	CDS	438	4.2.1.10	COG0757	3-dehydroquinate dehydratase
arsA	1	1	1	1	1	1	1	1	1	EBMLHIBA_01246	CDS	984	3.6.3.16		Arsenical pump-driving ATPase
arsB	1	1	1	1	1	1	1	1	1	BGMKIKPO_00055	CDS	1293		COG1055	Arsenical pump membrane protein
arsC	1	1	1	1	1	1	1	1	1	IGOCDMGC_00056	CDS	396	1.20.4.4		Arsenate reductase
arsC1	1	1	1	1	1	1	1	1	1	MCCDGJGB_01959	CDS	432	2.8.4.2	COG0394	Arsenate-mycothiol transferase ArsC1
arsC2	1	1	1	1	1	1	1	1	1	MCCDGJGB_03028	CDS	411	2.8.4.2	COG0394	Arsenate-mycothiol transferase ArsC2
arsR	1	1	1	1	1	1	1	1	1	EPECHOLL_02564	CDS	321		COG0640	Arsenical resistance operon repressor
artQ	1	1	1	1	1	1	1	1	1	IHGJPHMH_03703	CDS	843		COG0765	Arginine transport system permease protein ArtQ
asbF	1	1	1	1	1	1	1	1	1	DPNJBGPE_01445	CDS	783	4.2.1.118		3-dehydroshikimate dehydratase
asd	1	1	1	1	1	1	1	1	1	AGBMBALL_03097	CDS	1194	1.2.1.11	COG0136	Aspartate-semialdehyde dehydrogenase
aseR	1	1	1	1	1	1	1	1	1	MCCDGJGB_01955	CDS	417		COG0640	HTH-type transcriptional repressor AseR
ask	1	1	1	1	1	1	1	1	1	IOFEINNK_02039	CDS	1329	2.7.2.4	COG0527	Aspartokinase
asnB	1	1	1	1	1	1	1	1	1	LJFCBDKD_00859	CDS	2784	6.3.5.4	COG0367	Asparagine synthetase [glutamine-hydrolyzing] 1
asnC	1	1	1	1	1	1	1	1	1	ADMANBBD_03259	CDS	486		COG1522	Regulatory protein AsnC
asnS	1	1	1	1	1	1	1	1	1	BGMKIKPO_02742	CDS	1293	6.1.1.22		Asparagine--tRNA ligase
aspA	1	1	1	1	1	1	1	1	1	MCMEOHNO_01811	CDS	1515	4.3.1.1	COG1027	Aspartate ammonia-lyase
aspC	1	1	1	1	1	1	1	1	1	JOIMIODL_00495	CDS	1212	2.6.1.1	COG0436	putative aspartate aminotransferase
aspS	1	1	1	1	1	1	1	1	1	MOFHFCGN_01261	CDS	1767	6.1.1.12		Aspartate--tRNA ligase
atl	1	1	1	1	1	1	1	1	1	IGOCDMGC_00332	CDS	852		COG4193	Bifunctional autolysin
atpA	1	1	1	1	1	1	1	1	1	MCMEOHNO_00562	CDS	1623	3.6.3.14		ATP synthase subunit alpha
atpB	1	1	1	1	1	1	1	1	1	AGBMBALL_01262	CDS	675		COG0356	ATP synthase subunit a
atpC	1	1	1	1	1	1	1	1	1	FAGDNHIP_02377	CDS	405			ATP synthase epsilon chain
atpD	1	1	1	1	1	1	1	1	1	HGOKLDLI_02892	CDS	1413	3.6.3.14		ATP synthase subunit beta
atpE	1	1	1	1	1	1	1	1	1	IFGBOHMA_02792	CDS	207			ATP synthase subunit c
atpF	1	1	1	1	1	1	1	1	1	BGMKIKPO_02712	CDS	528			ATP synthase subunit b
atpG	1	1	1	1	1	1	1	1	1	JOIMIODL_00817	CDS	912			ATP synthase gamma chain
atpH	1	1	1	1	1	1	1	1	1	IOFEINNK_01784	CDS	807			ATP synthase subunit delta
atsA	1	1	1	1	1	1	1	1	1	HAJKDPKL_03685	CDS	1434	3.1.6.1	COG3119	Arylsulfatase
atzC	1	1	1	1	1	1	1	1	1	GGCDANDK_01941	CDS	1233	3.5.4.42		N-isopropylammelide isopropyl amidohydrolase
auaG	1	1	1	1	1	1	1	1	1	AGDBFNGI_02896	CDS	1203	1.14.13.222		Aurachin C monooxygenase/isomerase
aviRb	1	1	1	1	1	1	1	1	1	DNNBHHGK_01660	CDS	861	2.1.1.208		23S rRNA (uridine(2479)-2'-O)-methyltransferase
axe2	1	1	1	1	1	1	1	1	1	FOMIDEFL_02515	CDS	645	3.1.1.72		Acetylxylan esterase
axeA	1	1	1	1	1	1	1	1	1	FOMIDEFL_01248	CDS	1005	3.1.1.41	COG3458	Cephalosporin-C deacetylase
azo1	1	1	1	1	1	1	1	1	1	LKFOIOBI_02445	CDS	567	1.7.-.-		FMN-dependent NADPH-azoreductase
azoB	1	1	1	1	1	1	1	1	1	FOMIDEFL_00973	CDS	876	1.7.-.-		NAD(P)H azoreductase
azr	1	1	1	1	1	1	1	1	1	LJFCBDKD_02155	CDS	543	1.7.-.-	COG0431	FMN-dependent NADPH-azoreductase
bacC	1	1	1	1	1	1	1	1	1	AGEJDLBK_03347	CDS	801	1.1.1.385		Dihydroanticapsin 7-dehydrogenase
bacE	1	1	1	1	1	1	1	1	1	AGDBFNGI_03605	CDS	1248			Putative bacilysin exporter BacE
bacF	1	1	1	1	1	1	1	1	1	IFGBOHMA_00131	CDS	1158	2.6.1.-	COG0436	Transaminase BacF
baeS	1	1	1	1	1	1	1	1	1	HAJKDPKL_03033	CDS	1077	2.7.13.3	COG0642	Signal transduction histidine-protein kinase BaeS
bag	1	1	1	1	1	1	1	1	1	FOMIDEFL_01186	CDS	1092			IgA FC receptor
baiA1	1	1	1	1	1	1	1	1	1	HAJKDPKL_00313	CDS	708	1.1.1.395		3alpha-hydroxy bile acid-CoA-ester 3-dehydrogenase 1/3
bar	1	1	1	1	1	1	1	1	1	IOFEINNK_02006	CDS	492	2.3.1.183		Phosphinothricin N-acetyltransferase
bauC	1	1	1	1	1	1	1	1	1	MCMEOHNO_00081	CDS	1497	1.2.1.-	COG1012	Putative 3-oxopropanoate dehydrogenase
bcd	1	1	1	1	1	1	1	1	1	LDOPIMGM_03078	CDS	1167	1.3.8.1	COG1960	Acyl-CoA dehydrogenase, short-chain specific
bceA	1	1	1	1	1	1	1	1	1	EPECHOLL_00109	CDS	762		COG1136	Bacitracin export ATP-binding protein BceA
bceB	1	1	1	1	1	1	1	1	1	FAGDNHIP_00054	CDS	1890		COG0577	Bacitracin export permease protein BceB
bchM	1	1	1	1	1	1	1	1	1	AGBMBALL_02280	CDS	723	2.1.1.11	COG2227	Magnesium-protoporphyrin O-methyltransferase
bcp	1	1	1	1	1	1	1	1	1	AGBMBALL_00475	CDS	477	1.11.1.15	COG1225	Putative peroxiredoxin
bcr	1	1	1	1	1	1	1	1	1	IFGBOHMA_00376	CDS	1212			Bicyclomycin resistance protein
bdcR	1	1	1	1	1	1	1	1	1	HAJKDPKL_01632	CDS	609			HTH-type transcriptional repressor BdcR
bdhA	1	1	1	1	1	1	1	1	1	AGEJDLBK_02556	CDS	747	1.1.1.30		D-beta-hydroxybutyrate dehydrogenase
betA	1	1	1	1	1	1	1	1	1	LKFOIOBI_00124	CDS	1683	1.1.99.1		Oxygen-dependent choline dehydrogenase
betB	1	1	1	1	1	1	1	1	1	LDOPIMGM_01604	CDS	1443	1.2.1.8	COG1012	NAD/NADP-dependent betaine aldehyde dehydrogenase
betC	1	1	1	1	1	1	1	1	1	FOMIDEFL_02148	CDS	1413	3.1.6.6	COG3119	Choline-sulfatase
betI	1	1	1	1	1	1	1	1	1	AGEJDLBK_02664	CDS	774			HTH-type transcriptional regulator BetI
betP	1	1	1	1	1	1	1	1	1	AGDBFNGI_01713	CDS	1491		COG1292	Glycine betaine transporter BetP
betT	1	1	1	1	1	1	1	1	1	IHGJPHMH_01995	CDS	2070		COG1292	High-affinity choline transport protein
bfmBAA	1	1	1	1	1	1	1	1	1	HGOKLDLI_01287	CDS	999	1.2.4.4	COG1071	2-oxoisovalerate dehydrogenase subunit alpha
bfmBAB	1	1	1	1	1	1	1	1	1	HGOKLDLI_01286	CDS	984	1.2.4.4	COG0022	2-oxoisovalerate dehydrogenase subunit beta
bga	1	1	1	1	1	1	1	1	1	AGBMBALL_00926	CDS	3588	3.2.1.23		Beta-galactosidase
bglA	1	1	1	1	1	1	1	1	1	IOFEINNK_01857	CDS	1365	3.2.1.21		Beta-glucosidase
bglB	1	1	1	1	1	1	1	1	1	FAGDNHIP_02145	CDS	2223	3.2.1.21	COG1472	Thermostable beta-glucosidase B
bicA	1	1	1	1	1	1	1	1	1	EPECHOLL_00397	CDS	1173		COG0659	Bicarbonate transporter BicA
bioB	1	1	1	1	1	1	1	1	1	AGDBFNGI_00156	CDS	1251	2.8.1.6		Biotin synthase
bioC	1	1	1	1	1	1	1	1	1	EBMLHIBA_02150	CDS	840	2.1.1.197		Malonyl-[acyl-carrier protein] O-methyltransferase
bioM	1	1	1	1	1	1	1	1	1	DPNJBGPE_03244	CDS	687	3.6.3.-	COG1122	Biotin transport ATP-binding protein BioM
bioN	1	1	1	1	1	1	1	1	1	HAJKDPKL_00478	CDS	597		COG0619	Energy-coupling factor transporter transmembrane protein BioN
bioY	1	1	1	1	1	1	1	1	1	EBMLHIBA_01701	CDS	717		COG1268	Biotin transporter BioY
birA	1	1	1	1	1	1	1	1	1	MCMEOHNO_00853	CDS	1071	6.3.4.15		Bifunctional ligase/repressor BirA
bkdA	1	1	1	1	1	1	1	1	1	HAJKDPKL_00234	CDS	1140	1.2.4.4	COG1071	3-methyl-2-oxobutanoate dehydrogenase subunit alpha
bkdB	1	1	1	1	1	1	1	1	1	LJFCBDKD_02941	CDS	993	1.2.4.4	COG0022	3-methyl-2-oxobutanoate dehydrogenase subunit beta
bktB	1	1	1	1	1	1	1	1	1	IHGJPHMH_03131	CDS	1218	2.3.1.16	COG0183	Beta-ketothiolase BktB
blaI	1	1	1	1	1	1	1	1	1	LDOPIMGM_00356	CDS	390		COG3682	Transcriptional regulator BlaI
blaZ	1	1	1	1	1	1	1	1	1	ADMANBBD_01939	CDS	915	3.5.2.6		Beta-lactamase 3
bmr3	1	1	1	1	1	1	1	1	1	ADMANBBD_01526	CDS	1197			Multidrug resistance protein 3
bmrA	1	1	1	1	1	1	1	1	1	BGMKIKPO_01682	CDS	1719	3.6.3.-	COG1132	Multidrug resistance ABC transporter ATP-binding/permease protein BmrA
bmrR	1	1	1	1	1	1	1	1	1	LDOPIMGM_01019	CDS	870		COG0789	Multidrug-efflux transporter 1 regulator
bphC	1	1	1	1	1	1	1	1	1	AGDBFNGI_03290	CDS	1113	1.13.11.39		Manganese-dependent 2,3-dihydroxybiphenyl 1,2-dioxygenase
bphF	1	1	1	1	1	1	1	1	1	LDOPIMGM_01469	CDS	789	4.1.3.39		4-hydroxy-2-oxovalerate aldolase
braC	1	1	1	1	1	1	1	1	1	MCCDGJGB_02775	CDS	1191		COG0683	Leucine-, isoleucine-, valine-, threonine-, and alanine-binding protein
brnQ	1	1	1	1	1	1	1	1	1	FAGDNHIP_01463	CDS	1305		COG1114	Branched-chain amino acid transport system 2 carrier protein
brpA	1	1	1	1	1	1	1	1	1	GGCDANDK_03290	CDS	1881		COG1316	Biofilm regulatory protein A
bsaA	1	1	1	1	1	1	1	1	1	FAGDNHIP_02160	CDS	474			Glutathione peroxidase BsaA
bshA	1	1	1	1	1	1	1	1	1	LJFCBDKD_01922	CDS	1128	2.4.1.-	COG0438	N-acetyl-alpha-D-glucosaminyl L-malate synthase
bshB2	1	1	1	1	1	1	1	1	1	GGCDANDK_02331	CDS	717	3.5.1.-	COG2120	putative N-acetyl-alpha-D-glucosaminyl L-malate deacetylase 2
bshC	1	1	1	1	1	1	1	1	1	LKFOIOBI_01301	CDS	1614	6.-.-.-	COG4365	Putative cysteine ligase BshC
btrJ	1	1	1	1	1	1	1	1	1	MCCDGJGB_02849	CDS	1752	6.2.1.39		[Butirosin acyl-carrier protein]--L-glutamate ligase
btrK	1	1	1	1	1	1	1	1	1	FAGDNHIP_02434	CDS	1191	4.1.1.95		L-glutamyl-[BtrI acyl-carrier protein] decarboxylase
