"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","SEQ_341_10","SEQ_738_7","SEQ_862_5","SEQ_876_5","SEQ_900_4","SEQ_908_10","SEQ_947_12","SEQ_962_6","SEQ_BC9"
"dacA","","D-alanyl-D-alanine carboxypeptidase DacA","9","9","1","14","3969","","","","1292","1292","1292","FAGDNHIP_01869","BGMKIKPO_01681","HGOKLDLI_00091","IGOCDMGC_01134","LKFOIOBI_02365","MOFHFCGN_00090","IFGBOHMA_01063","PIPEENFB_00582","EPECHOLL_01963"
"tagX","","Putative glycosyltransferase TagX","9","9","1","14","3972","","","","1058","1058","1058","FAGDNHIP_01871","BGMKIKPO_01679","HGOKLDLI_00089","IGOCDMGC_01136","LKFOIOBI_02367","MOFHFCGN_00088","IFGBOHMA_01061","PIPEENFB_00584","EPECHOLL_01961"
"tagH_1","","Teichoic acids export ATP-binding protein TagH","9","9","1","14","3975","","","","794","794","794","FAGDNHIP_01874","BGMKIKPO_01676","HGOKLDLI_00086","IGOCDMGC_01139","LKFOIOBI_02370","MOFHFCGN_00085","IFGBOHMA_01058","PIPEENFB_00587","EPECHOLL_01958"
"tarA","","N-acetylglucosaminyldiphosphoundecaprenol N-acetyl-beta-D-mannosaminyltransferase","9","9","1","14","3976","","","","746","746","746","FAGDNHIP_01875","BGMKIKPO_01675","HGOKLDLI_00085","IGOCDMGC_01140","LKFOIOBI_02371","MOFHFCGN_00084","IFGBOHMA_01057","PIPEENFB_00588","EPECHOLL_01957"
"group_1038","","hypothetical protein","9","9","1","14","3977","","","","749","749","749","FAGDNHIP_01876","BGMKIKPO_01674","HGOKLDLI_00084","IGOCDMGC_01141","LKFOIOBI_02372","MOFHFCGN_00083","IFGBOHMA_01056","PIPEENFB_00589","EPECHOLL_01956"
"znuC_2","","High-affinity zinc uptake system ATP-binding protein ZnuC","9","9","1","14","3979","","","","722","722","722","FAGDNHIP_01878","BGMKIKPO_01672","HGOKLDLI_00082","IGOCDMGC_01143","LKFOIOBI_02374","MOFHFCGN_00081","IFGBOHMA_01054","PIPEENFB_00591","EPECHOLL_01954"
"nhaK","","Sodium, potassium, lithium and rubidium/H(+) antiporter","9","9","1","14","3982","","","","2051","2051","2051","FAGDNHIP_01881","BGMKIKPO_01669","HGOKLDLI_00079","IGOCDMGC_01146","LKFOIOBI_02377","MOFHFCGN_00078","IFGBOHMA_01051","PIPEENFB_00594","EPECHOLL_01951"
"mrpG","","Na(+)/H(+) antiporter subunit G","9","9","1","14","3983","","","","446","446","446","FAGDNHIP_01882","BGMKIKPO_01668","HGOKLDLI_00078","IGOCDMGC_01147","LKFOIOBI_02378","MOFHFCGN_00077","IFGBOHMA_01050","PIPEENFB_00595","EPECHOLL_01950"
"mrpA","","Na(+)/H(+) antiporter subunit A","9","9","1","14","3989","","","","2396","2396","2396","FAGDNHIP_01888","BGMKIKPO_01662","HGOKLDLI_00072","IGOCDMGC_01153","LKFOIOBI_02384","MOFHFCGN_00071","IFGBOHMA_01044","PIPEENFB_00601","EPECHOLL_01944"
"xerD_2","","Tyrosine recombinase XerD","9","9","1","14","3990","","","","551","551","551","FAGDNHIP_01889","BGMKIKPO_01661","HGOKLDLI_00071","IGOCDMGC_01154","LKFOIOBI_02385","MOFHFCGN_00070","IFGBOHMA_01043","PIPEENFB_00602","EPECHOLL_01943"
"group_1045","","hypothetical protein","9","9","1","14","3993","","","","233","233","233","FAGDNHIP_01892","BGMKIKPO_01658","HGOKLDLI_00068","IGOCDMGC_01157","LKFOIOBI_02388","MOFHFCGN_00067","IFGBOHMA_01040","PIPEENFB_00605","EPECHOLL_01940"
"group_1046","","hypothetical protein","9","9","1","14","4000","","","","506","506","506","FAGDNHIP_01898","BGMKIKPO_01652","HGOKLDLI_00062","IGOCDMGC_01163","LKFOIOBI_02394","MOFHFCGN_00061","IFGBOHMA_01034","PIPEENFB_00611","EPECHOLL_01934"
"group_1047","","putative ABC transporter permease protein","9","9","1","14","4003","","","","950","950","950","FAGDNHIP_01901","BGMKIKPO_01649","HGOKLDLI_00059","IGOCDMGC_01166","LKFOIOBI_02397","MOFHFCGN_00058","IFGBOHMA_01031","PIPEENFB_00614","EPECHOLL_01931"
"gfo_2","","Glucose--fructose oxidoreductase","9","9","1","14","4016","","","","1046","1046","1046","FAGDNHIP_01914","BGMKIKPO_01636","HGOKLDLI_00046","IGOCDMGC_01179","LKFOIOBI_02410","MOFHFCGN_00045","IFGBOHMA_01018","PIPEENFB_00627","EPECHOLL_01918"
"gfo_1","","Glucose--fructose oxidoreductase","9","9","1","14","4018","","","","1082","1082","1082","FAGDNHIP_01916","BGMKIKPO_01634","HGOKLDLI_00044","IGOCDMGC_01181","LKFOIOBI_02412","MOFHFCGN_00043","IFGBOHMA_01016","PIPEENFB_00629","EPECHOLL_01916"
"glvR_1","","HTH-type transcriptional regulator GlvR","9","9","1","14","4019","","","","749","752","749","FAGDNHIP_01917","BGMKIKPO_01633","HGOKLDLI_00043","IGOCDMGC_01182","LKFOIOBI_02413","MOFHFCGN_00042","IFGBOHMA_01015","PIPEENFB_00630","EPECHOLL_01915"
"hddA","","D-glycero-alpha-D-manno-heptose 7-phosphate kinase","9","9","1","14","4023","","","","923","923","923","FAGDNHIP_01921","BGMKIKPO_01629","HGOKLDLI_00038","IGOCDMGC_01186","LKFOIOBI_02418","MOFHFCGN_00038","IFGBOHMA_01011","PIPEENFB_00634","EPECHOLL_01911"
"ung","","Uracil-DNA glycosylase","9","9","1","14","4032","","","","656","656","656","FAGDNHIP_01930","BGMKIKPO_01620","HGOKLDLI_00029","IGOCDMGC_01195","LKFOIOBI_02427","MOFHFCGN_00029","IFGBOHMA_01002","PIPEENFB_00643","EPECHOLL_01902"
"group_1054","","hypothetical protein","9","9","1","14","4037","","","","440","440","440","FAGDNHIP_01935","BGMKIKPO_01616","HGOKLDLI_00025","IGOCDMGC_01199","LKFOIOBI_02431","MOFHFCGN_00025","IFGBOHMA_00998","PIPEENFB_00647","EPECHOLL_01896"
"yhfS","","Putative acetyl-CoA C-acetyltransferase YhfS","9","9","1","14","4042","","","","1142","1145","1142","FAGDNHIP_01938","BGMKIKPO_01613","HGOKLDLI_00022","IGOCDMGC_01202","LKFOIOBI_02434","MOFHFCGN_00022","IFGBOHMA_00995","PIPEENFB_00650","EPECHOLL_01893"
"yojF","","putative protein YojF","9","9","1","14","1955","","","","359","359","359","FAGDNHIP_01944","BGMKIKPO_01607","HGOKLDLI_00016","IGOCDMGC_02160","LKFOIOBI_02440","MOFHFCGN_00016","IFGBOHMA_00989","PIPEENFB_00656","EPECHOLL_02832"
"tadA_2","","tRNA-specific adenosine deaminase","9","9","1","14","1948","","","","491","491","491","FAGDNHIP_01951","BGMKIKPO_01600","HGOKLDLI_00009","IGOCDMGC_02153","LKFOIOBI_02447","MOFHFCGN_00009","IFGBOHMA_00982","PIPEENFB_00663","EPECHOLL_02825"
"group_1059","","hypothetical protein","9","9","1","14","1945","","","","389","389","389","FAGDNHIP_01954","BGMKIKPO_01597","HGOKLDLI_00006","IGOCDMGC_02150","LKFOIOBI_02450","MOFHFCGN_00006","IFGBOHMA_00979","PIPEENFB_00666","EPECHOLL_02822"
"group_1062","","dITP/XTP pyrophosphatase","9","9","1","14","3358","","","","581","581","581","FAGDNHIP_01966","BGMKIKPO_02459","HGOKLDLI_00583","IGOCDMGC_01644","LKFOIOBI_01281","MOFHFCGN_00794","IFGBOHMA_01523","PIPEENFB_00086","EPECHOLL_01585"
"mutS2","","Endonuclease MutS2","9","9","1","14","3365","","","","2348","2351","2348","FAGDNHIP_01973","BGMKIKPO_02452","HGOKLDLI_00576","IGOCDMGC_01651","LKFOIOBI_01274","MOFHFCGN_00787","IFGBOHMA_01530","PIPEENFB_00093","EPECHOLL_01592"
"group_1064","","hypothetical protein","9","9","1","14","3367","","","","521","521","521","FAGDNHIP_01975","BGMKIKPO_02450","HGOKLDLI_00574","IGOCDMGC_01653","LKFOIOBI_01272","MOFHFCGN_00785","IFGBOHMA_01532","PIPEENFB_00095","EPECHOLL_01594"
"rnhC","","Ribonuclease HIII","9","9","1","14","3369","","","","941","941","941","FAGDNHIP_01977","BGMKIKPO_02448","HGOKLDLI_00572","IGOCDMGC_01655","LKFOIOBI_01270","MOFHFCGN_00783","IFGBOHMA_01534","PIPEENFB_00097","EPECHOLL_01596"
"pheT_2","","Phenylalanine--tRNA ligase beta subunit","9","9","1","14","3370","","","","2402","2402","2402","FAGDNHIP_01978","BGMKIKPO_02447","HGOKLDLI_00571","IGOCDMGC_01656","LKFOIOBI_01269","MOFHFCGN_00782","IFGBOHMA_01535","PIPEENFB_00098","EPECHOLL_01597"
"group_1067","","hypothetical protein","9","9","1","14","3377","","","","1133","1133","1133","FAGDNHIP_01984","BGMKIKPO_02441","HGOKLDLI_00565","IGOCDMGC_01662","LKFOIOBI_01263","MOFHFCGN_00776","IFGBOHMA_01541","PIPEENFB_00104","EPECHOLL_01603"
"rsmD","","Ribosomal RNA small subunit methyltransferase D","9","9","1","14","3379","","","","542","542","542","FAGDNHIP_01986","BGMKIKPO_02439","HGOKLDLI_00563","IGOCDMGC_01664","LKFOIOBI_01261","MOFHFCGN_00774","IFGBOHMA_01543","PIPEENFB_00106","EPECHOLL_01605"
"group_1069","","hypothetical protein","9","9","1","14","3380","","","","389","389","389","FAGDNHIP_01987","BGMKIKPO_02438","HGOKLDLI_00562","IGOCDMGC_01665","LKFOIOBI_01260","MOFHFCGN_00773","IFGBOHMA_01544","PIPEENFB_00107","EPECHOLL_01606"
"glpQ1","","putative glycerophosphodiester phosphodiesterase 1","9","9","1","14","3382","","","","920","920","920","FAGDNHIP_01989","BGMKIKPO_02436","HGOKLDLI_00560","IGOCDMGC_01667","LKFOIOBI_01258","MOFHFCGN_00771","IFGBOHMA_01546","PIPEENFB_00109","EPECHOLL_01608"
"group_1071","","hypothetical protein","9","9","1","14","3384","","","","1049","1049","1049","FAGDNHIP_01991","BGMKIKPO_02434","HGOKLDLI_00558","IGOCDMGC_01669","LKFOIOBI_01256","MOFHFCGN_00769","IFGBOHMA_01548","PIPEENFB_00111","EPECHOLL_01610"
"uvrA_2","","UvrABC system protein A","9","9","1","14","3385","","","","2258","2258","2258","FAGDNHIP_01992","BGMKIKPO_02433","HGOKLDLI_00557","IGOCDMGC_01670","LKFOIOBI_01255","MOFHFCGN_00768","IFGBOHMA_01549","PIPEENFB_00112","EPECHOLL_01611"
"group_1073","","hypothetical protein","9","9","1","14","3386","","","","461","461","461","FAGDNHIP_01993","BGMKIKPO_02432","HGOKLDLI_00556","IGOCDMGC_01671","LKFOIOBI_01254","MOFHFCGN_00767","IFGBOHMA_01550","PIPEENFB_00113","EPECHOLL_01612"
"ftsW_1","","putative peptidoglycan glycosyltransferase FtsW","9","9","1","14","3390","","","","1235","1235","1235","FAGDNHIP_01997","BGMKIKPO_02428","HGOKLDLI_00552","IGOCDMGC_01675","LKFOIOBI_01958","MOFHFCGN_00763","IFGBOHMA_01554","PIPEENFB_00117","EPECHOLL_01616"
"group_1075","","hypothetical protein","9","9","1","14","3391","","","","275","275","275","FAGDNHIP_01998","BGMKIKPO_02427","HGOKLDLI_00551","IGOCDMGC_01676","LKFOIOBI_01959","MOFHFCGN_00762","IFGBOHMA_01555","PIPEENFB_00118","EPECHOLL_01617"
"suhB_2","","Inositol-1-monophosphatase","9","9","1","14","3396","","","","818","818","818","FAGDNHIP_02003","BGMKIKPO_02422","HGOKLDLI_00546","IGOCDMGC_01681","LKFOIOBI_01964","MOFHFCGN_00757","IFGBOHMA_01560","PIPEENFB_00123","EPECHOLL_01622"
"group_1077","","hypothetical protein","9","9","1","14","3405","","","","278","278","278","FAGDNHIP_02011","BGMKIKPO_02414","HGOKLDLI_00538","IGOCDMGC_01690","LKFOIOBI_01972","MOFHFCGN_00749","IFGBOHMA_01568","PIPEENFB_00131","EPECHOLL_01631"
"group_1078","","hypothetical protein","9","9","1","14","3410","","","","626","626","626","FAGDNHIP_02016","BGMKIKPO_02409","HGOKLDLI_00533","IGOCDMGC_01695","LKFOIOBI_01977","MOFHFCGN_00744","IFGBOHMA_01573","PIPEENFB_00136","EPECHOLL_01636"
"group_1079","","hypothetical protein","9","9","1","14","3412","","","","272","272","272","FAGDNHIP_02018","BGMKIKPO_02407","HGOKLDLI_00531","IGOCDMGC_01697","LKFOIOBI_01979","MOFHFCGN_00742","IFGBOHMA_01575","PIPEENFB_00138","EPECHOLL_01638"
"rnj1","","Ribonuclease J 1","9","9","1","14","3414","","","","1808","1856","1850","FAGDNHIP_02020","BGMKIKPO_02405","HGOKLDLI_00529","IGOCDMGC_01699","LKFOIOBI_01981","MOFHFCGN_00740","IFGBOHMA_01577","PIPEENFB_00140","EPECHOLL_01640"
"group_1081","","hypothetical protein","9","9","1","14","3422","","","","542","542","542","FAGDNHIP_02027","BGMKIKPO_02398","HGOKLDLI_00522","IGOCDMGC_01706","LKFOIOBI_01988","MOFHFCGN_00733","IFGBOHMA_01584","PIPEENFB_00147","EPECHOLL_01647"
"group_1082","","hypothetical protein","9","9","1","14","3425","","","","134","134","134","FAGDNHIP_02030","BGMKIKPO_02395","HGOKLDLI_00519","IGOCDMGC_01709","LKFOIOBI_01991","MOFHFCGN_00730","IFGBOHMA_01587","PIPEENFB_00150","EPECHOLL_01650"
"ykoC","","Putative HMP/thiamine permease protein YkoC","9","9","1","14","3428","","","","806","806","806","FAGDNHIP_02033","BGMKIKPO_02392","HGOKLDLI_00516","IGOCDMGC_01712","LKFOIOBI_01994","MOFHFCGN_00727","IFGBOHMA_01590","PIPEENFB_00153","EPECHOLL_01653"
"purD","","Phosphoribosylamine--glycine ligase","9","9","1","14","3429","","","","1238","1238","1238","FAGDNHIP_02034","BGMKIKPO_02391","HGOKLDLI_00515","IGOCDMGC_01713","LKFOIOBI_01995","MOFHFCGN_00726","IFGBOHMA_01591","PIPEENFB_00154","EPECHOLL_01654"
"purH","","Bifunctional purine biosynthesis protein PurH","9","9","1","14","3430","","","","1478","1478","1478","FAGDNHIP_02035","BGMKIKPO_02390","HGOKLDLI_00514","IGOCDMGC_01714","LKFOIOBI_01996","MOFHFCGN_00725","IFGBOHMA_01592","PIPEENFB_00155","EPECHOLL_01655"
"purN","","Phosphoribosylglycinamide formyltransferase","9","9","1","14","3431","","","","566","566","566","FAGDNHIP_02036","BGMKIKPO_02389","HGOKLDLI_00513","IGOCDMGC_01715","LKFOIOBI_01997","MOFHFCGN_00724","IFGBOHMA_01593","PIPEENFB_00156","EPECHOLL_01656"
"purM","","Phosphoribosylformylglycinamidine cyclo-ligase","9","9","1","14","3432","","","","1028","1028","1028","FAGDNHIP_02037","BGMKIKPO_02388","HGOKLDLI_00512","IGOCDMGC_01716","LKFOIOBI_01998","MOFHFCGN_00723","IFGBOHMA_01594","PIPEENFB_00157","EPECHOLL_01657"
"purC","","Phosphoribosylaminoimidazole-succinocarboxamide synthase","9","9","1","14","3437","","","","701","701","701","FAGDNHIP_02042","BGMKIKPO_02383","HGOKLDLI_00507","IGOCDMGC_01721","LKFOIOBI_02003","MOFHFCGN_00718","IFGBOHMA_01599","PIPEENFB_00162","EPECHOLL_01662"
"purK","","N5-carboxyaminoimidazole ribonucleotide synthase","9","9","1","14","3438","","","","1133","1133","1133","FAGDNHIP_02043","BGMKIKPO_02382","HGOKLDLI_00506","IGOCDMGC_01722","LKFOIOBI_02004","MOFHFCGN_00717","IFGBOHMA_01600","PIPEENFB_00163","EPECHOLL_01663"
"purE","","N5-carboxyaminoimidazole ribonucleotide mutase","9","9","1","14","3439","","","","482","482","482","FAGDNHIP_02044","BGMKIKPO_02381","HGOKLDLI_00505","IGOCDMGC_01723","LKFOIOBI_02005","MOFHFCGN_00716","IFGBOHMA_01601","PIPEENFB_00164","EPECHOLL_01664"
"pgcA","","Phosphoglucomutase","9","9","1","14","3451","","","","1646","1658","1656","FAGDNHIP_02054","BGMKIKPO_02370","HGOKLDLI_00494","IGOCDMGC_01734","LKFOIOBI_02015","MOFHFCGN_00706","IFGBOHMA_01612","PIPEENFB_00175","EPECHOLL_01673"
"rsgA","","Small ribosomal subunit biogenesis GTPase RsgA","9","9","1","14","2534","","","","875","875","875","FAGDNHIP_02059","BGMKIKPO_03107","HGOKLDLI_00987","IGOCDMGC_02161","LKFOIOBI_01347","MOFHFCGN_00851","IFGBOHMA_00536","PIPEENFB_00029","EPECHOLL_01457"
"rpe","","Ribulose-phosphate 3-epimerase","9","9","1","14","2533","","","","644","644","644","FAGDNHIP_02060","BGMKIKPO_03106","HGOKLDLI_00988","IGOCDMGC_02162","LKFOIOBI_01348","MOFHFCGN_00852","IFGBOHMA_00537","PIPEENFB_00028","EPECHOLL_01456"
"thiN","","Thiamine pyrophosphokinase","9","9","1","14","2532","","","","635","635","635","FAGDNHIP_02061","BGMKIKPO_03105","HGOKLDLI_00989","IGOCDMGC_02163","LKFOIOBI_01349","MOFHFCGN_00853","IFGBOHMA_00538","PIPEENFB_00027","EPECHOLL_01455"
