"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","Brevi_341_13.fa","Brevi_738_8.fa","Brevi_862_7.fa","Brevi_876_7.fa","Brevi_900_6.fa","Brevi_908_7.fa","Brevi_947_7.fa","Brevi_962_8.fa","Brevi_JB5.fa"
"lacI","","Lactose operon repressor","9","9","1","56","2861","","","","1067","1121","1079","AGEJDLBK_02375","MCCDGJGB_01823","GGCDANDK_00975","IHGJPHMH_02087","LDOPIMGM_00535","EBMLHIBA_00242","IOFEINNK_00807","AGDBFNGI_02366","ADMANBBD_01641"
"cytR","","HTH-type transcriptional repressor CytR","9","9","1","56","2862","","","","1019","1073","1061","AGEJDLBK_02376","MCCDGJGB_01822","GGCDANDK_00974","IHGJPHMH_02088","LDOPIMGM_00536","EBMLHIBA_00241","IOFEINNK_00808","AGDBFNGI_02365","ADMANBBD_01642"
"fabG_3","","3-oxoacyl-[acyl-carrier-protein] reductase FabG","9","9","1","56","2866","","","","893","893","893","AGEJDLBK_02380","MCCDGJGB_01819","GGCDANDK_00971","IHGJPHMH_02092","LDOPIMGM_00539","EBMLHIBA_00238","IOFEINNK_00811","AGDBFNGI_02362","ADMANBBD_01646"
"group_1035","","hypothetical protein","9","9","1","56","2872","","","","104","104","104","AGEJDLBK_02385","MCCDGJGB_01814","GGCDANDK_00966","IHGJPHMH_02097","LDOPIMGM_00544","EBMLHIBA_00233","IOFEINNK_00816","AGDBFNGI_02357","ADMANBBD_01651"
"yhaJ","","HTH-type transcriptional regulator YhaJ","9","9","1","56","2885","","","","932","962","944","AGEJDLBK_02398","MCCDGJGB_01801","GGCDANDK_00953","IHGJPHMH_02110","LDOPIMGM_00557","EBMLHIBA_00220","IOFEINNK_00829","AGDBFNGI_02344","ADMANBBD_01664"
"trxB_2","","Thioredoxin reductase","9","9","1","56","2901","","","","974","1112","1096","AGEJDLBK_02415","MCCDGJGB_01784","GGCDANDK_00936","IHGJPHMH_02127","LDOPIMGM_00574","EBMLHIBA_00203","IOFEINNK_00846","AGDBFNGI_02327","ADMANBBD_01681"
"group_104","","hypothetical protein","9","9","1","56","3173","","","","1259","1319","1278","AGEJDLBK_02719","MCCDGJGB_00464","GGCDANDK_02444","IHGJPHMH_00157","LDOPIMGM_00748","EBMLHIBA_00030","IOFEINNK_03495","AGDBFNGI_02018","ADMANBBD_01859"
"smtB_3","","Succinyl-CoA--L-malate CoA-transferase beta subunit","9","9","1","56","4523","","","","1220","1220","1220","AGEJDLBK_02464","MCCDGJGB_03074","GGCDANDK_03094","IHGJPHMH_03490","LDOPIMGM_03135","EBMLHIBA_03286","IOFEINNK_02797","AGDBFNGI_03361","ADMANBBD_02397"
"group_1047","","hypothetical protein","9","9","1","56","4521","","","","653","653","653","AGEJDLBK_02466","MCCDGJGB_03072","GGCDANDK_03096","IHGJPHMH_03670","LDOPIMGM_03133","EBMLHIBA_03288","IOFEINNK_02795","AGDBFNGI_03363","ADMANBBD_02399"
"catJ","","3-oxoadipate CoA-transferase subunit B","9","9","1","56","4519","","","","812","812","812","AGEJDLBK_02468","MCCDGJGB_03069","GGCDANDK_03098","IHGJPHMH_03672","LDOPIMGM_03131","EBMLHIBA_03290","IOFEINNK_02793","AGDBFNGI_03365","ADMANBBD_02401"
"upp","","Uracil phosphoribosyltransferase","9","9","1","56","1491","","","","1271","1271","1271","AGEJDLBK_03042","MCCDGJGB_02308","GGCDANDK_00147","IHGJPHMH_00709","LDOPIMGM_01463","EBMLHIBA_00505","IOFEINNK_02136","AGDBFNGI_03280","ADMANBBD_01276"
"group_1050","","hypothetical protein","9","9","1","56","4491","","","","461","461","461","AGEJDLBK_02487","MCCDGJGB_03392","GGCDANDK_02072","IHGJPHMH_02751","LDOPIMGM_03112","EBMLHIBA_03309","IOFEINNK_02774","AGDBFNGI_03384","ADMANBBD_02426"
"group_1052","","hypothetical protein","9","9","1","56","4475","","","","968","1052","1033","AGEJDLBK_02503","MCCDGJGB_03408","GGCDANDK_02055","IHGJPHMH_02735","LDOPIMGM_03096","EBMLHIBA_03325","IOFEINNK_02758","AGDBFNGI_03400","ADMANBBD_02442"
"group_1053","","hypothetical protein","9","9","1","56","4473","","","","1382","1535","1518","AGEJDLBK_02505","MCCDGJGB_03410","GGCDANDK_02053","IHGJPHMH_02733","LDOPIMGM_03094","EBMLHIBA_03327","IOFEINNK_02756","AGDBFNGI_03402","ADMANBBD_02444"
"group_1055","","hypothetical protein","9","9","1","56","4459","","","","647","932","900","AGEJDLBK_02514","MCCDGJGB_03422","GGCDANDK_02042","IHGJPHMH_02724","LDOPIMGM_03082","EBMLHIBA_03336","IOFEINNK_02743","AGDBFNGI_03411","ADMANBBD_02453"
"qcrA_2","","Cytochrome bc1 complex Rieske iron-sulfur subunit","9","9","1","56","1702","","","","428","428","428","AGEJDLBK_02515","MCCDGJGB_03715","GGCDANDK_03617","IHGJPHMH_03112","LDOPIMGM_00268","EBMLHIBA_02686","IOFEINNK_01102","AGDBFNGI_01764","ADMANBBD_02741"
"group_1057","","hypothetical protein","9","9","1","56","1705","","","","377","377","377","AGEJDLBK_02517","MCCDGJGB_01377","GGCDANDK_00714","IHGJPHMH_03114","LDOPIMGM_00266","EBMLHIBA_03249","IOFEINNK_01100","AGDBFNGI_01767","ADMANBBD_02739"
"group_1058","","hypothetical protein","9","9","1","56","1707","","","","530","578","546","AGEJDLBK_02519","MCCDGJGB_01375","GGCDANDK_00716","IHGJPHMH_03116","LDOPIMGM_00264","EBMLHIBA_03247","IOFEINNK_01098","AGDBFNGI_01770","ADMANBBD_02737"
"group_1059","","Trehalase","9","9","1","56","1709","","","","2645","2645","2645","AGEJDLBK_02521","MCCDGJGB_01373","GGCDANDK_00718","IHGJPHMH_03118","LDOPIMGM_00262","EBMLHIBA_03245","IOFEINNK_01096","AGDBFNGI_01772","ADMANBBD_02735"
"copZ_1","","Copper chaperone CopZ","9","9","1","56","1718","","","","212","212","212","AGEJDLBK_02530","MCCDGJGB_01364","GGCDANDK_00727","IHGJPHMH_03127","LDOPIMGM_00253","EBMLHIBA_03236","IOFEINNK_01087","AGDBFNGI_01781","ADMANBBD_02726"
"citS_1","","Sensor protein CitS","9","9","1","56","1721","","","","1922","1985","1978","AGEJDLBK_02533","MCCDGJGB_01361","GGCDANDK_00730","IHGJPHMH_03130","LDOPIMGM_00250","EBMLHIBA_03233","IOFEINNK_01084","AGDBFNGI_01784","ADMANBBD_02723"
"bktB","","Beta-ketothiolase BktB","9","9","1","56","1722","","","","1217","1217","1217","AGEJDLBK_02534","MCCDGJGB_01360","GGCDANDK_00731","IHGJPHMH_03131","LDOPIMGM_00249","EBMLHIBA_03232","IOFEINNK_01083","AGDBFNGI_01785","ADMANBBD_02722"
"citT_2","","Transcriptional regulatory protein CitT","9","9","1","56","1723","","","","734","734","734","AGEJDLBK_02535","MCCDGJGB_01359","GGCDANDK_00732","IHGJPHMH_03134","LDOPIMGM_00248","EBMLHIBA_03231","IOFEINNK_01082","AGDBFNGI_01786","ADMANBBD_02721"
"bkdB_2","","3-methyl-2-oxobutanoate dehydrogenase subunit beta","9","9","1","56","1737","","","","977","977","977","AGEJDLBK_02547","MCCDGJGB_01347","GGCDANDK_00744","IHGJPHMH_03146","LDOPIMGM_00236","EBMLHIBA_03219","IOFEINNK_01070","AGDBFNGI_01798","ADMANBBD_02709"
"yhjE_10","","Inner membrane metabolite transport protein YhjE","9","9","1","56","1746","","","","1355","1355","1355","AGEJDLBK_02555","MCCDGJGB_01339","GGCDANDK_00752","IHGJPHMH_03154","LDOPIMGM_00228","EBMLHIBA_03211","IOFEINNK_01062","AGDBFNGI_01806","ADMANBBD_02701"
"mrpD_1","","Na(+)/H(+) antiporter subunit D","9","9","1","56","1773","","","","1583","1583","1583","AGEJDLBK_02572","MCCDGJGB_01326","GGCDANDK_00765","IHGJPHMH_03167","LDOPIMGM_00211","EBMLHIBA_03198","IOFEINNK_01049","AGDBFNGI_01819","ADMANBBD_02688"
"phoP","","Alkaline phosphatase synthesis transcriptional regulatory protein PhoP","9","9","1","56","1783","","","","752","752","752","AGEJDLBK_02576","MCCDGJGB_01322","GGCDANDK_00769","IHGJPHMH_03171","LDOPIMGM_00207","EBMLHIBA_03194","IOFEINNK_01045","AGDBFNGI_01823","ADMANBBD_02684"
"fabG_7","","3-oxoacyl-[acyl-carrier-protein] reductase FabG","9","9","1","56","1838","","","","803","803","803","AGEJDLBK_02622","MCCDGJGB_01276","GGCDANDK_00816","IHGJPHMH_03217","LDOPIMGM_00830","EBMLHIBA_03148","IOFEINNK_00994","AGDBFNGI_01869","ADMANBBD_02638"
"ecsA","","ABC-type transporter ATP-binding protein EcsA","9","9","1","56","1881","","","","881","881","881","AGEJDLBK_02656","MCCDGJGB_00525","GGCDANDK_00854","IHGJPHMH_03255","LDOPIMGM_00792","EBMLHIBA_03114","IOFEINNK_00956","AGDBFNGI_01907","ADMANBBD_02600"
"fba","","Fructose-bisphosphate aldolase","9","9","1","56","1919","","","","1022","1022","1022","AGEJDLBK_02669","MCCDGJGB_00512","GGCDANDK_00867","IHGJPHMH_00202","LDOPIMGM_00785","EBMLHIBA_03101","IOFEINNK_00943","AGDBFNGI_01920","ADMANBBD_02570"
"dppB","","Dipeptide transport system permease protein DppB","9","9","1","56","3621","","","","1091","1091","1091","AGEJDLBK_02675","MCCDGJGB_00508","GGCDANDK_00870","IHGJPHMH_00199","LDOPIMGM_00782","EBMLHIBA_03098","IOFEINNK_00940","AGDBFNGI_01923","ADMANBBD_02567"
"degU_1","","Transcriptional regulatory protein DegU","9","9","1","56","3603","","","","623","656","626","AGEJDLBK_02688","MCCDGJGB_00494","GGCDANDK_00883","IHGJPHMH_00187","LDOPIMGM_00768","EBMLHIBA_03084","IOFEINNK_00926","AGDBFNGI_03442","ADMANBBD_02551"
"group_1098","","putative protein/MSMEI_1241","9","9","1","56","3176","","","","1463","1463","1463","AGEJDLBK_02716","MCCDGJGB_00467","GGCDANDK_02441","IHGJPHMH_00160","LDOPIMGM_00751","EBMLHIBA_00027","IOFEINNK_03498","AGDBFNGI_02021","ADMANBBD_01862"
"group_1099","","hypothetical protein","9","9","1","56","3168","","","","914","938","935","AGEJDLBK_02724","MCCDGJGB_00459","GGCDANDK_02449","IHGJPHMH_00152","LDOPIMGM_00743","EBMLHIBA_00035","IOFEINNK_03490","AGDBFNGI_02013","ADMANBBD_01854"
"group_110","","hypothetical protein","9","9","1","56","6963","","","","422","422","422","AGEJDLBK_03132","MCCDGJGB_01388","GGCDANDK_00647","IHGJPHMH_02827","LDOPIMGM_03302","EBMLHIBA_01842","IOFEINNK_02976","AGDBFNGI_02117","ADMANBBD_00045"
"ribD","","Riboflavin biosynthesis protein RibD","9","9","1","56","3164","","","","1079","1079","1079","AGEJDLBK_02728","MCCDGJGB_00455","GGCDANDK_02453","IHGJPHMH_00148","LDOPIMGM_00739","EBMLHIBA_00039","IOFEINNK_03486","AGDBFNGI_02129","ADMANBBD_01850"
"group_1101","","hypothetical protein","9","9","1","56","3163","","","","476","476","476","AGEJDLBK_02729","MCCDGJGB_00454","GGCDANDK_02454","IHGJPHMH_00147","LDOPIMGM_00738","EBMLHIBA_00040","IOFEINNK_03485","AGDBFNGI_02130","ADMANBBD_01849"
"srpR_1","","hypothetical protein","9","9","1","56","7002","","","","353","629","493","AGEJDLBK_03167","MCCDGJGB_01417","GGCDANDK_00676","IHGJPHMH_02787","LDOPIMGM_03271","EBMLHIBA_01881","IOFEINNK_02925","AGDBFNGI_02061","ADMANBBD_00014"
"group_1110","","hypothetical protein","9","9","1","56","5145","","","","686","686","686","AGEJDLBK_02780","MCCDGJGB_00686","GGCDANDK_02096","IHGJPHMH_00243","LDOPIMGM_00939","EBMLHIBA_03381","IOFEINNK_00102","AGDBFNGI_00842","ADMANBBD_01088"
"ydhK","","putative protein YdhK","9","9","1","56","5148","","","","593","593","593","AGEJDLBK_02783","MCCDGJGB_00689","GGCDANDK_02099","IHGJPHMH_00240","LDOPIMGM_00942","EBMLHIBA_03384","IOFEINNK_00105","AGDBFNGI_00839","ADMANBBD_01085"
"crt_1","","Short-chain-enoyl-CoA hydratase","9","9","1","56","5151","","","","827","848","829","AGEJDLBK_02786","MCCDGJGB_00692","GGCDANDK_02102","IHGJPHMH_00237","LDOPIMGM_00945","EBMLHIBA_03387","IOFEINNK_00108","AGDBFNGI_00836","ADMANBBD_01082"
"paaD","","Putative 1,2-phenylacetyl-CoA epoxidase, subunit D","9","9","1","56","5154","","","","548","548","548","AGEJDLBK_02789","MCCDGJGB_00695","GGCDANDK_02105","IHGJPHMH_00234","LDOPIMGM_00948","EBMLHIBA_03390","IOFEINNK_00111","AGDBFNGI_00833","ADMANBBD_01079"
"psdht","","Phenylserine dehydratase","9","9","1","56","5182","","","","1010","1010","1010","AGEJDLBK_02806","MCCDGJGB_00712","GGCDANDK_02122","IHGJPHMH_02509","LDOPIMGM_00965","EBMLHIBA_02695","IOFEINNK_00127","AGDBFNGI_00816","ADMANBBD_02504"
"group_1117","","hypothetical protein","9","9","1","56","5183","","","","188","188","188","AGEJDLBK_02807","MCCDGJGB_00713","GGCDANDK_02123","IHGJPHMH_02510","LDOPIMGM_00966","EBMLHIBA_02696","IOFEINNK_00128","AGDBFNGI_00815","ADMANBBD_02503"
"group_1119","kipR_2","HTH-type transcriptional regulator KipR","9","9","1","56","5187","","","","848","890","852","AGEJDLBK_02810","MCCDGJGB_00716","GGCDANDK_02126","IHGJPHMH_02513","LDOPIMGM_00969","EBMLHIBA_02699","IOFEINNK_00131","AGDBFNGI_00812","ADMANBBD_02500"
"ephD_2","","putative oxidoreductase EphD","9","9","1","56","4933","","","","719","971","786","AGEJDLBK_03341","MCCDGJGB_02197","GGCDANDK_02856","IHGJPHMH_00592","LDOPIMGM_01571","EBMLHIBA_00388","IOFEINNK_02244","AGDBFNGI_02733","ADMANBBD_01376"
"soxG","","Sarcosine oxidase subunit gamma","9","9","1","56","5192","","","","680","695","681","AGEJDLBK_02815","MCCDGJGB_00721","GGCDANDK_02131","IHGJPHMH_02518","LDOPIMGM_00974","EBMLHIBA_02704","IOFEINNK_00136","AGDBFNGI_00807","ADMANBBD_02495"
"soxA_2","","Sarcosine oxidase subunit alpha","9","9","1","56","5193","","","","2945","2945","2945","AGEJDLBK_02816","MCCDGJGB_00722","GGCDANDK_02132","IHGJPHMH_02519","LDOPIMGM_00975","EBMLHIBA_02705","IOFEINNK_00137","AGDBFNGI_00806","ADMANBBD_02494"
"etfB","","Electron transfer flavoprotein subunit beta","9","9","1","56","5200","","","","776","893","789","AGEJDLBK_02822","MCCDGJGB_00728","GGCDANDK_02138","IHGJPHMH_02525","LDOPIMGM_00981","EBMLHIBA_02711","IOFEINNK_00143","AGDBFNGI_00800","ADMANBBD_02488"
"bkdA_1","","3-methyl-2-oxobutanoate dehydrogenase subunit alpha","9","9","1","56","5218","","","","1106","1106","1106","AGEJDLBK_02828","MCCDGJGB_01612","GGCDANDK_02152","IHGJPHMH_02530","LDOPIMGM_00995","EBMLHIBA_02725","IOFEINNK_00149","AGDBFNGI_00794","ADMANBBD_02475"
"yodF","","putative symporter YodF","9","9","1","56","5225","","","","1502","1514","1512","AGEJDLBK_02835","MCCDGJGB_01605","GGCDANDK_02159","IHGJPHMH_02537","LDOPIMGM_01002","EBMLHIBA_02732","IOFEINNK_00156","AGDBFNGI_00787","ADMANBBD_02468"
"gabD1_2","","Succinate-semialdehyde dehydrogenase [NADP(+)] 1","9","9","1","56","5230","","","","566","1394","1302","AGEJDLBK_02839","MCCDGJGB_01594","GGCDANDK_02163","IHGJPHMH_02541","LDOPIMGM_01007","EBMLHIBA_02736","IOFEINNK_00160","AGDBFNGI_00783","ADMANBBD_02464"
"lutR_1","","HTH-type transcriptional regulator LutR","9","9","1","56","5234","","","","716","740","718","AGEJDLBK_02843","MCCDGJGB_01590","GGCDANDK_02167","IHGJPHMH_02545","LDOPIMGM_01011","EBMLHIBA_02740","IOFEINNK_00164","AGDBFNGI_00779","ADMANBBD_00472"
"alsT_1","","Amino-acid carrier protein AlsT","9","9","1","56","5240","","","","1730","1796","1788","AGEJDLBK_02849","MCCDGJGB_01584","GGCDANDK_02173","IHGJPHMH_02551","LDOPIMGM_01017","EBMLHIBA_02746","IOFEINNK_00170","AGDBFNGI_00773","ADMANBBD_00478"
"argR","","Arginine repressor","9","9","1","56","1265","","","","515","545","532","AGEJDLBK_03465","MCCDGJGB_03451","GGCDANDK_03725","IHGJPHMH_03524","LDOPIMGM_03240","EBMLHIBA_03650","IOFEINNK_02462","AGDBFNGI_03757","ADMANBBD_02746"
"pstP","","PP2C-family Ser/Thr phosphatase","9","9","1","56","7192","","","","1454","1454","1454","AGEJDLBK_02884","MCCDGJGB_01549","GGCDANDK_01577","IHGJPHMH_02584","LDOPIMGM_01051","EBMLHIBA_02780","IOFEINNK_00214","AGDBFNGI_00669","ADMANBBD_00515"
"pknA","","Serine/threonine-protein kinase PknA","9","9","1","56","7187","","","","1820","1841","1829","AGEJDLBK_02887","MCCDGJGB_01546","GGCDANDK_01580","IHGJPHMH_02587","LDOPIMGM_01054","EBMLHIBA_02783","IOFEINNK_00217","AGDBFNGI_00672","ADMANBBD_00518"
"group_1137","","hypothetical protein","9","9","1","56","7182","","","","1067","1232","1158","AGEJDLBK_02892","MCCDGJGB_01541","GGCDANDK_01585","IHGJPHMH_02592","LDOPIMGM_01059","EBMLHIBA_02788","IOFEINNK_00222","AGDBFNGI_00677","ADMANBBD_00523"
"gluP","","Rhomboid protease GluP","9","9","1","56","7180","","","","626","707","698","AGEJDLBK_02894","MCCDGJGB_01539","GGCDANDK_01587","IHGJPHMH_02594","LDOPIMGM_01061","EBMLHIBA_02790","IOFEINNK_00224","AGDBFNGI_00679","ADMANBBD_00525"
"group_1139","","hypothetical protein","9","9","1","56","7177","","","","836","854","848","AGEJDLBK_02897","MCCDGJGB_01536","GGCDANDK_01590","IHGJPHMH_02597","LDOPIMGM_01064","EBMLHIBA_02793","IOFEINNK_00227","AGDBFNGI_00682","ADMANBBD_00528"
"group_114","","hypothetical protein","9","9","1","56","4440","","","","578","593","584","AGEJDLBK_03508","MCCDGJGB_03434","GGCDANDK_02920","IHGJPHMH_02712","LDOPIMGM_03600","EBMLHIBA_03348","IOFEINNK_02731","AGDBFNGI_03427","ADMANBBD_03415"
"argS_1","","Arginine--tRNA ligase","9","9","1","56","7175","","","","1766","1766","1766","AGEJDLBK_02899","MCCDGJGB_01534","GGCDANDK_01592","IHGJPHMH_02599","LDOPIMGM_01066","EBMLHIBA_02795","IOFEINNK_00229","AGDBFNGI_00684","ADMANBBD_00530"
"group_1142","","hypothetical protein","9","9","1","56","7164","","","","374","374","374","AGEJDLBK_02910","MCCDGJGB_01527","GGCDANDK_01599","IHGJPHMH_02610","LDOPIMGM_01077","EBMLHIBA_02806","IOFEINNK_00236","AGDBFNGI_00695","ADMANBBD_00538"
