"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","com_341.fna","com_738.fna","com_862.fna","com_876.fna","com_900.fna","com_908.fna","com_947.fna","com_962.fna","com_JB.fna"
"hexs-a","","Hexaprenyl-diphosphate synthase small subunit ((2E,6E)-farnesyl-diphosphate specific)","9","9","1","2","4201","","","","569","569","569","GOJPHPBD_08344","DEIPBNHI_09457","LBLIGOHA_08659","IIFCLKFN_08054","BOFCGCOL_08495","KJABKPCK_08362","KLLDKJAP_08210","HHDJLLAI_09620","IFEKPJDH_08557"
"ebpS","","Elastin-binding protein EbpS","9","9","1","2","4209","","","","1808","1838","1818","GOJPHPBD_08352","DEIPBNHI_09465","LBLIGOHA_08667","IIFCLKFN_08062","BOFCGCOL_08487","KJABKPCK_08370","KLLDKJAP_08218","HHDJLLAI_09612","IFEKPJDH_08549"
"group_1108","","Farnesyl diphosphate synthase","9","9","1","2","4248","","","","881","917","905","GOJPHPBD_08387","DEIPBNHI_09499","LBLIGOHA_08701","IIFCLKFN_08096","BOFCGCOL_08452","KJABKPCK_08404","KLLDKJAP_08252","HHDJLLAI_09578","IFEKPJDH_08515"
"group_1114","","putative AAA domain-containing protein","9","9","1","2","4354","","","","1178","1277","1252","GOJPHPBD_08488","DEIPBNHI_08865","LBLIGOHA_08800","IIFCLKFN_08195","BOFCGCOL_08351","KJABKPCK_08503","KLLDKJAP_08351","HHDJLLAI_08330","IFEKPJDH_08413"
"opcR_2","","HTH-type transcriptional repressor OpcR","9","9","1","2","2078","","","","551","674","588","GOJPHPBD_08647","DEIPBNHI_08030","LBLIGOHA_09762","IIFCLKFN_09810","BOFCGCOL_07465","KJABKPCK_09589","KLLDKJAP_07899","HHDJLLAI_09141","IFEKPJDH_09893"
"gntP_2","","High-affinity gluconate transporter","9","9","1","2","2058","","","","1187","1343","1325","GOJPHPBD_08663","DEIPBNHI_08047","LBLIGOHA_09746","IIFCLKFN_09826","BOFCGCOL_07481","KJABKPCK_09573","KLLDKJAP_07915","HHDJLLAI_09157","IFEKPJDH_08212"
"nagB_4","","Glucosamine-6-phosphate deaminase","9","9","1","2","2041","","","","605","722","683","GOJPHPBD_08676","DEIPBNHI_08060","LBLIGOHA_09733","IIFCLKFN_09839","BOFCGCOL_07494","KJABKPCK_09560","KLLDKJAP_07928","HHDJLLAI_09170","IFEKPJDH_08228"
"femA_1","","Aminoacyltransferase FemA","9","9","1","2","2040","","","","1163","1250","1192","GOJPHPBD_08677","DEIPBNHI_08061","LBLIGOHA_09732","IIFCLKFN_09840","BOFCGCOL_07495","KJABKPCK_09559","KLLDKJAP_07929","HHDJLLAI_09171","IFEKPJDH_08229"
"xylB_8","","Xylulose kinase","9","9","1","2","2182","","","","1490","1490","1490","GOJPHPBD_08719","DEIPBNHI_08350","LBLIGOHA_09844","IIFCLKFN_09635","BOFCGCOL_07378","KJABKPCK_09676","KLLDKJAP_07817","HHDJLLAI_09779","IFEKPJDH_09525"
"yxeI","","putative protein YxeI","9","9","1","2","2161","","","","983","986","983","GOJPHPBD_08739","DEIPBNHI_10209","LBLIGOHA_09829","IIFCLKFN_09620","BOFCGCOL_07398","KJABKPCK_09661","KLLDKJAP_07832","HHDJLLAI_09764","IFEKPJDH_09542"
"mhqA_3","","Putative ring-cleaving dioxygenase MhqA","9","9","1","2","2158","","","","926","926","926","GOJPHPBD_08742","DEIPBNHI_10206","LBLIGOHA_09826","IIFCLKFN_09617","BOFCGCOL_07401","KJABKPCK_09658","KLLDKJAP_07835","HHDJLLAI_09761","IFEKPJDH_09545"
"gltA_4","","Glutamate synthase [NADPH] large chain","9","9","1","2","851","","","","4409","4499","4489","GOJPHPBD_08853","DEIPBNHI_08826","LBLIGOHA_09375","IIFCLKFN_09351","BOFCGCOL_09034","KJABKPCK_08941","KLLDKJAP_09550","HHDJLLAI_10022","IFEKPJDH_10119"
"menH_4","","2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase","9","9","1","2","3582","","","","806","806","806","GOJPHPBD_09045","DEIPBNHI_07644","LBLIGOHA_07898","IIFCLKFN_09093","BOFCGCOL_09350","KJABKPCK_09133","KLLDKJAP_08857","HHDJLLAI_07621","IFEKPJDH_10008"
"group_1146","","hypothetical protein","9","9","1","2","3295","","","","266","266","266","GOJPHPBD_09053","DEIPBNHI_09881","LBLIGOHA_07762","IIFCLKFN_07557","BOFCGCOL_09484","KJABKPCK_08994","KLLDKJAP_08721","HHDJLLAI_07757","IFEKPJDH_08093"
"group_1147","","hypothetical protein","9","9","1","2","3287","","","","134","134","134","GOJPHPBD_09060","DEIPBNHI_09888","LBLIGOHA_07755","IIFCLKFN_07564","BOFCGCOL_09491","KJABKPCK_08987","KLLDKJAP_08714","HHDJLLAI_07764","IFEKPJDH_08086"
"group_1148","","hypothetical protein","9","9","1","2","3265","","","","281","473","430","GOJPHPBD_09079","DEIPBNHI_10593","LBLIGOHA_07736","IIFCLKFN_07583","BOFCGCOL_09510","KJABKPCK_08968","KLLDKJAP_08695","HHDJLLAI_07783","IFEKPJDH_08067"
"group_1151","","Gluconeogenesis factor","9","9","1","2","2983","","","","998","998","998","GOJPHPBD_09115","DEIPBNHI_09364","LBLIGOHA_07633","IIFCLKFN_08369","BOFCGCOL_09563","KJABKPCK_07469","KLLDKJAP_08589","HHDJLLAI_07889","IFEKPJDH_08026"
"ybaK_4","","Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase YbaK","9","9","1","2","2911","","","","467","488","485","GOJPHPBD_09182","DEIPBNHI_09297","LBLIGOHA_07566","IIFCLKFN_08436","BOFCGCOL_09631","KJABKPCK_07402","KLLDKJAP_08522","HHDJLLAI_07956","IFEKPJDH_09459"
"group_1154","","hypothetical protein","9","9","1","2","2881","","","","683","758","708","GOJPHPBD_09206","DEIPBNHI_09272","LBLIGOHA_07541","IIFCLKFN_08461","BOFCGCOL_09656","KJABKPCK_07378","KLLDKJAP_08497","HHDJLLAI_07981","IFEKPJDH_09434"
"alsT_6","","Amino-acid carrier protein AlsT","9","9","1","2","2768","","","","800","1346","1285","GOJPHPBD_09306","DEIPBNHI_09173","LBLIGOHA_07442","IIFCLKFN_08560","BOFCGCOL_09756","KJABKPCK_07278","KLLDKJAP_08398","HHDJLLAI_08080","IFEKPJDH_09332"
"group_1158","","Putative TrmH family tRNA/rRNA methyltransferase","9","9","1","2","3677","","","","740","740","740","GOJPHPBD_09348","DEIPBNHI_09997","LBLIGOHA_07981","IIFCLKFN_09008","BOFCGCOL_08600","KJABKPCK_08025","KLLDKJAP_08937","HHDJLLAI_07538","IFEKPJDH_09043"
"ykoD_6","","Putative HMP/thiamine import ATP-binding protein YkoD","9","9","1","2","3618","","","","1421","1421","1421","GOJPHPBD_09399","DEIPBNHI_09946","LBLIGOHA_07930","IIFCLKFN_09060","BOFCGCOL_09319","KJABKPCK_07974","KLLDKJAP_08988","HHDJLLAI_07589","IFEKPJDH_09096"
"purN_3","","Phosphoribosylglycinamide formyltransferase","9","9","1","2","3614","","","","512","566","524","GOJPHPBD_09403","DEIPBNHI_09942","LBLIGOHA_07926","IIFCLKFN_09064","BOFCGCOL_09323","KJABKPCK_07970","KLLDKJAP_08992","HHDJLLAI_07593","IFEKPJDH_09100"
"rihC","","Non-specific ribonucleoside hydrolase RihC","9","9","1","2","3599","","","","908","908","908","GOJPHPBD_09418","DEIPBNHI_09927","LBLIGOHA_07911","IIFCLKFN_09079","BOFCGCOL_09338","KJABKPCK_07955","KLLDKJAP_09007","HHDJLLAI_07608","IFEKPJDH_09115"
"tagT","","Polyisoprenyl-teichoic acid--peptidoglycan teichoic acid transferase TagT","9","9","1","2","3594","","","","1304","1325","1306","GOJPHPBD_09421","DEIPBNHI_09923","LBLIGOHA_07907","IIFCLKFN_09083","BOFCGCOL_09341","KJABKPCK_07952","KLLDKJAP_09011","HHDJLLAI_07612","IFEKPJDH_09118"
"rsgA_3","","Small ribosomal subunit biogenesis GTPase RsgA","9","9","1","2","3800","","","","812","875","826","GOJPHPBD_09425","DEIPBNHI_10647","LBLIGOHA_08399","IIFCLKFN_09494","BOFCGCOL_08685","KJABKPCK_08099","KLLDKJAP_07950","HHDJLLAI_07464","IFEKPJDH_08898"
"cinA_2","","Putative competence-damage inducible protein","9","9","1","2","3989","","","","1142","1142","1142","GOJPHPBD_09494","DEIPBNHI_08677","LBLIGOHA_08467","IIFCLKFN_09562","BOFCGCOL_08753","KJABKPCK_08167","KLLDKJAP_08018","HHDJLLAI_09296","IFEKPJDH_08830"
