gene	com_962	Gene	Non.unique.Gene.name	Annotation	No..isolates	No..sequences	Avg.sequences.per.isolate	Genome.Fragment	Order.within.Fragment	Accessory.Fragment	Accessory.Order.with.Fragment	QC	Min.group.size.nuc	Max.group.size.nuc	Avg.group.size.nuc	com_341.fna	com_738.fna	com_862.fna	com_876.fna	com_900.fna	com_908.fna	com_947.fna	com_962.fna	com_JB.fna
tcdA	1	tcdA		tRNA threonylcarbamoyladenosine dehydratase	9	9	1	2	4355	NA	NA		770	770	770	GOJPHPBD_08489	DEIPBNHI_08864	LBLIGOHA_08801	IIFCLKFN_08196	BOFCGCOL_08350	KJABKPCK_08504	KLLDKJAP_08352	HHDJLLAI_08331	IFEKPJDH_08412
ttuB	1	ttuB		Putative tartrate transporter	9	9	1	1	9108	NA	NA		1367	1367	1367	GOJPHPBD_06815	DEIPBNHI_05185	LBLIGOHA_05341	IIFCLKFN_06259	BOFCGCOL_04812	KJABKPCK_05293	KLLDKJAP_03990	HHDJLLAI_07269	IFEKPJDH_04222
tuaC	1	tuaC		Putative teichuronic acid biosynthesis glycosyltransferase TuaC	1	1	1	2	2412	2	138		1103	1103	1103								HHDJLLAI_08163	
uctC	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
vatD	1	vatD		Streptogramin A acetyltransferase	1	1	1	2	2411	2	137		554	554	554								HHDJLLAI_08162	
vibB	1	vibB		Vibriobactin-specific isochorismatase	1	1	1	1	8026	1896	6		878	878	878								HHDJLLAI_06208	
yecS	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
yhcG	1	yhcG		Putative nuclease YhcG	1	1	1	1	5338	1	1211		1046	1046	1046								HHDJLLAI_07126	
ymfD	1	ymfD		Bacillibactin exporter	1	1	1	1	5295	1	1259		1226	1226	1226								HHDJLLAI_07112	
ywrO	1	ywrO		General stress protein 14	7	7	1	1	5653	307	1		668	668	668	GOJPHPBD_06280		LBLIGOHA_06745	IIFCLKFN_07236	BOFCGCOL_06769	KJABKPCK_06834	KLLDKJAP_06426	HHDJLLAI_06946	
