gene	com_908	Gene	Non.unique.Gene.name	Annotation	No..isolates	No..sequences	Avg.sequences.per.isolate	Genome.Fragment	Order.within.Fragment	Accessory.Fragment	Accessory.Order.with.Fragment	QC	Min.group.size.nuc	Max.group.size.nuc	Avg.group.size.nuc	com_341.fna	com_738.fna	com_862.fna	com_876.fna	com_900.fna	com_908.fna	com_947.fna	com_962.fna	com_JB.fna
rclA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
repD	1	repD		Replication initiation protein	1	1	1	2	635	3	290		869	869	869						KJABKPCK_09515			
rpe	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rpiB	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sceD	1	sceD		putative transglycosylase SceD	9	9	1	2	2216	NA	NA		710	740	723	GOJPHPBD_08700	DEIPBNHI_08374	LBLIGOHA_09868	IIFCLKFN_09658	BOFCGCOL_07349	KJABKPCK_09700	KLLDKJAP_07793	HHDJLLAI_09803	IFEKPJDH_09495
sdpR	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sraP	1	sraP		Serine-rich adhesin for platelets	1	1	1	2	1336	1676	2		419	419	419						KJABKPCK_09779			
tarF	1	tarF		Teichoic acid glycerol-phosphate transferase	8	8	1	2	1708	545	1		1691	1691	1691	GOJPHPBD_07670	DEIPBNHI_08661	LBLIGOHA_08221	IIFCLKFN_08720	BOFCGCOL_07784	KJABKPCK_07756	KLLDKJAP_07780	HHDJLLAI_08868	
tarL	1	tarL		Teichoic acid ribitol-phosphate polymerase TarL	8	8	1	2	1890	433	2		1124	1688	1617	GOJPHPBD_07507	DEIPBNHI_08223		IIFCLKFN_08877	BOFCGCOL_07621	KJABKPCK_09237	KLLDKJAP_07612	HHDJLLAI_09032	IFEKPJDH_07709
ttgW	1	ttgW		putative HTH-type transcriptional regulator TtgW	9	9	1	1	7781	NA	NA		584	767	746	GOJPHPBD_05484	DEIPBNHI_05428	LBLIGOHA_06929	IIFCLKFN_03649	BOFCGCOL_04317	KJABKPCK_03639	KLLDKJAP_05181	HHDJLLAI_05778	IFEKPJDH_05370
ulaA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ulaB	1	ulaB		Ascorbate-specific PTS system EIIB component	1	1	1	2	1378	1958	8		278	278	278						KJABKPCK_09717			
ulaC	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
xerC	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
xerD	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ydaG	1	ydaG		General stress protein 26	8	8	1	2	2153	563	1		428	428	428	GOJPHPBD_08749	DEIPBNHI_10203	LBLIGOHA_09823	IIFCLKFN_09614	BOFCGCOL_07408	KJABKPCK_09651	KLLDKJAP_07838	HHDJLLAI_09758	
yvbW	1	yvbW		putative amino acid permease YvbW	1	1	1	1	2624	4	145		983	983	983						KJABKPCK_03316			
