tax_id	GeneID	Symbol	LocusTag	Synonyms	dbXrefs	chromosome	map_location	description	type_of_gene	Symbol_from_nomenclature_authority	Full_name_from_nomenclature_authority	Nomenclature_status	Other_designations	Modification_date	Feature_type
199	28662960	CCON33237_RS06495	CCON33237_RS06495	CCON33237_1284	-	-	-	divalent-cation tolerance protein CutA	protein-coding	-	-	-	-	20170908	-
199	28663278	CCON33237_RS08085	CCON33237_RS08085	CCON33237_1600	-	-	-	tRNA uridine 5-carboxymethylaminomethyl modification enzyme GidA	protein-coding	-	-	-	-	20160907	-
199	28663313	CCON33237_RS08260	CCON33237_RS08260	CCON33237_1634	-	-	-	flagellar modification protein B	protein-coding	-	-	-	-	20160907	-
199	28663522	CCON33237_RS09315	CCON33237_RS09315	CCON33237_1845	-	-	-	DNA modification methylase	protein-coding	-	-	-	-	20160907	-
201	3355315	repB	pCL300_p03	-	-	-	-	putative repliccation protein B	protein-coding	-	-	-	-	20160827	-
201	4033384	repA	pUPTC237_02	-	-	-	-	putative replication protein A	protein-coding	-	-	-	-	20150520	-
201	4033385	repB	pUPTC237_03	-	-	-	-	putative repliccation protein B	protein-coding	-	-	-	-	20160910	-
210	1167890	repA	pHPO100_01	-	-	-	-	replication protein	protein-coding	-	-	-	-	20180129	-
210	1167891	repA	pHPM186_03	-	-	-	-	RepA	protein-coding	-	-	-	RepA|replication protein A	20180129	-
210	1167896	repB	pHP51_01	-	-	-	-	replication initiation protein B	protein-coding	-	-	-	replication initiation protein B|RepB	20180129	-
210	1167897	repA	pHPM8_01	-	-	-	-	replication A protein	protein-coding	-	-	-	replication A protein|RepA	20180129	-
210	1343138	RepA	pHel5_01	-	-	-	-	orf5A	protein-coding	-	-	-	RepA|replication initiation protein A	20180129	-
210	1343163	RepA	pHel4_09	-	-	-	-	orf4I	protein-coding	-	-	-	replication initiation protein A	20180129	-
210	6383330	fic	pHP69_p02	-	-	-	-	replication-associated protein	protein-coding	-	-	-	replication-associated protein|putative cAMP-induced filamentation protein	20160910	-
210	6383335	repA	pHP69_p01	-	-	-	-	replication initiation protein A	protein-coding	-	-	-	-	20160910	-
210	6383336	mccB	pHP69_p05	-	-	-	-	peptide modification	protein-coding	-	-	-	peptide modification|MccB	20160910	-
210	8655728	repA	pAL226p01	-	-	-	-	replication initiaton protein A	protein-coding	-	-	-	replication initiaton protein A|RepA	20160903	-
210	9166465	pAL23611_p1	pAL23611_p1	-	-	-	-	replication protein	protein-coding	-	-	-	replication protein|RepB	20160806	-
210	9166467	pAL2362_p01	pAL2362_p01	-	-	-	-	replication protein	protein-coding	-	-	-	replication protein|RepH	20160806	-
210	9166469	pAL2365_p01	pAL2365_p01	-	-	-	-	replication protein	protein-coding	-	-	-	replication protein|RepH	20160806	-
253	32134579	BM326_RS00485	BM326_RS00485	SAMN05421692_0096	-	-	-	cation transporter	protein-coding	-	-	-	-	20171117	-
253	32134656	BM326_RS00875	BM326_RS00875	SAMN05421692_0175	-	-	-	tRNA modification GTPase	protein-coding	-	-	-	-	20171117	-
253	32134723	BM326_RS01215	BM326_RS01215	SAMN05421692_0244	-	-	-	copper-translocating P-type ATPase	protein-coding	-	-	-	-	20181013	-
253	32134728	BM326_RS01240	BM326_RS01240	SAMN05421692_0249	-	-	-	copper-translocating P-type ATPase	protein-coding	-	-	-	-	20170906	-
253	32134732	BM326_RS01260	BM326_RS01260	SAMN05421692_0252	-	-	-	heavy metal translocating P-type ATPase	protein-coding	-	-	-	-	20170501	-
253	32134750	BM326_RS01350	BM326_RS01350	SAMN05421692_0271	-	-	-	DNA modification methylase	protein-coding	-	-	-	-	20170429	-
253	32134884	BM326_RS02020	BM326_RS02020	SAMN05421692_0407	-	-	-	cation transporter	protein-coding	-	-	-	-	20170501	-
253	32134898	BM326_RS02090	BM326_RS02090	SAMN05421692_0421	-	-	-	DNA replication and repair protein RecF	protein-coding	-	-	-	-	20170501	-
253	32135411	BM326_RS04665	BM326_RS04665	SAMN05421692_0951	-	-	-	Tat (twin-arginine translocation) pathway signal sequence containing protein	protein-coding	-	-	-	-	20171028	-
253	32135469	BM326_RS04960	BM326_RS04960	SAMN05421692_1011	-	-	-	taurine catabolism dioxygenase TauD	protein-coding	-	-	-	-	20171117	-
253	32135509	katE	BM326_RS05170	SAMN05421692_1050	-	-	-	catalase	protein-coding	-	-	-	-	20170501	-
253	32135784	BM326_RS06560	BM326_RS06560	SAMN05421692_1338	-	-	-	chromosomal replication initiator protein DnaA	protein-coding	-	-	-	-	20171117	-
253	32136012	BM326_RS07705	BM326_RS07705	SAMN05421692_1575	-	-	-	cation/H(+) antiporter	protein-coding	-	-	-	-	20170908	-
253	32136026	BM326_RS07775	BM326_RS07775	SAMN05421692_1589	-	-	-	twin-arginine translocation pathway signal	protein-coding	-	-	-	-	20170501	-
253	32136261	BM326_RS08955	BM326_RS08955	SAMN05421692_1830	-	-	-	twin-arginine translocation pathway signal protein	protein-coding	-	-	-	-	20170429	-
253	32136329	BM326_RS09295	BM326_RS09295	SAMN05421692_1900	-	-	-	cation transporter	protein-coding	-	-	-	-	20170429	-
253	32136378	BM326_RS09540	BM326_RS09540	SAMN05421692_1949	-	-	-	heavy metal translocating P-type ATPase	protein-coding	-	-	-	-	20171028	-
253	32136380	BM326_RS09550	BM326_RS09550	SAMN05421692_1951	-	-	-	cation transporter	protein-coding	-	-	-	-	20170501	-
253	32136467	BM326_RS09985	BM326_RS09985	SAMN05421692_2040	-	-	-	replicative DNA helicase	protein-coding	-	-	-	-	20170501	-
253	32136477	BM326_RS10035	BM326_RS10035	SAMN05421692_2050	-	-	-	cation diffusion facilitator transporter	protein-coding	-	-	-	-	20170501	-
253	32136868	BM326_RS11990	BM326_RS11990	SAMN05421692_2457	-	-	-	putative DNA modification/repair radical SAM protein	protein-coding	-	-	-	-	20170501	-
253	32136966	BM326_RS12480	BM326_RS12480	SAMN05421692_2559	-	-	-	cation transporter	protein-coding	-	-	-	-	20170429	-
253	32136967	BM326_RS12485	BM326_RS12485	SAMN05421692_2560	-	-	-	magnesium-translocating P-type ATPase	protein-coding	-	-	-	-	20170501	-
253	32136979	BM326_RS12545	BM326_RS12545	SAMN05421692_2572	-	-	-	catalase-peroxidase	protein-coding	-	-	-	-	20170501	-
253	32137211	BM326_RS13710	BM326_RS13710	SAMN05421692_2818	-	-	-	2-oxoglutarate translocator	protein-coding	-	-	-	-	20170501	-
253	32137381	BM326_RS14560	BM326_RS14560	SAMN05421692_2996	-	-	-	cation/H(+) antiporter	protein-coding	-	-	-	-	20171117	-
253	32137449	BM326_RS14900	BM326_RS14900	SAMN05421692_3066	-	-	-	catabolite gene activator protein	protein-coding	-	-	-	-	20170501	-
253	32137542	BM326_RS15365	BM326_RS15365	SAMN05421692_3161	-	-	-	sodium-translocating pyrophosphatase	protein-coding	-	-	-	-	20170501	-
253	32137562	BM326_RS15465	BM326_RS15465	SAMN05421692_3181	-	-	-	copper-translocating P-type ATPase	protein-coding	-	-	-	-	20170501	-
253	32137585	BM326_RS15580	BM326_RS15580	SAMN05421692_3204	-	-	-	twin-arginine translocation pathway signal protein	protein-coding	-	-	-	-	20171117	-
253	32138143	BM326_RS18380	BM326_RS18380	SAMN05421692_3779	-	-	-	catalase	protein-coding	-	-	-	-	20170501	-
253	32138412	BM326_RS19730	BM326_RS19730	SAMN05421692_4054	-	-	-	catalase	protein-coding	-	-	-	-	20170501	-
253	32138632	BM326_RS20850	BM326_RS20850	SAMN05421692_4294	-	-	-	type I restriction-modification system subunit M	protein-coding	-	-	-	-	20171117	-
285	11934107	PTB30_p35	PTB30_p35	-	-	-	-	Orf36	protein-coding	-	-	-	Orf36|twin-arginine translocation pathway signal protein	20160820	-
285	11934138	tfdC	PTB30_p33	-	-	-	-	chlorocatechol 1,2-dioxygenase	protein-coding	-	-	-	chlorocatechol 1,2-dioxygenase|TfdC	20160820	-
285	11934140	PTB30_p37	PTB30_p37	-	-	-	-	orf38	protein-coding	-	-	-	orf38|intergrase catalytic domain	20160820	-
285	11934150	trfA	PTB30_p01	-	-	-	-	TrfA; replication initiation protein	protein-coding	-	-	-	TrfA|replication initiation protein	20180129	-
285	11934388	cadC	PI2_p34	-	-	-	-	catechol 2,3 dioxygenase	protein-coding	-	-	-	catechol 2,3 dioxygenase|CadC	20160820	-
285	11934441	trfA	PI2_p01	-	-	-	-	TrfA; replication initiation protein	protein-coding	-	-	-	TrfA|replication initiation protein	20150520	-
287	3399455	repA	Rms149_p56	-	-	-	-	RepA replication protein	protein-coding	-	-	-	-	20180129	-
287	3399457	rpxB	Rms149_p26	-	-	-	-	truncated RepB fusion protein	protein-coding	-	-	-	-	20170520	-
287	4290900	trfA1	pBS228_p019	-	-	-	-	TrfA2 replication protein, long form	protein-coding	-	-	-	-	20170906	-
287	4290901	trfA2	pBS228_p020	-	-	-	-	TrfA2 replication protein, short form	protein-coding	-	-	-	-	20150520	-
287	5495356	repA	pMATVM7_14	-	-	-	-	replication protein	protein-coding	-	-	-	-	20180129	-
287	11372474	tnpA	D703_p4075	-	-	-	-	truncated TnpA transposase	protein-coding	-	-	-	-	20150520	-
287	11372476	chrC	D703_p4090	-	-	-	-	truncated superoxide dismutase-Fe	protein-coding	-	-	-	-	20180129	-
287	11372501	dnaB2	D703_p4013	-	-	-	-	replicative DNA helicase	protein-coding	-	-	-	-	20180129	-
287	13917220	dnaB	CP9	-	-	-	-	similar to dnaB (Pseudomonas aeruginosa PA4931)	protein-coding	-	-	-	replicative DNA helicase|DnaB	20180129	-
287	14678522	ngoMIV	D703_p13	-	-	-	-	DNA restriction/modification system	protein-coding	-	-	-	DNA restriction/modification system|NgoMIV	20160827	-
287	14678533	repA	D703_p07	-	-	-	-	Replication initiation protein	protein-coding	-	-	-	Replication initiation protein|RepA	20180129	-
287	16834585	klcA	D703_p1002	-	-	-	-	DNA modification system	protein-coding	-	-	-	DNA modification system|KlcA	20180129	-
292	13919525	pYS10063	pYS10063	-	-	-	-	ActP	protein-coding	-	-	-	cation/acetate symporter	20150520	-
292	13919530	pYS10068	pYS10068	-	-	-	-	ActP	protein-coding	-	-	-	cation/acetate symporter	20160827	-
292	13919550	pYS10088	pYS10088	-	-	-	-	integrase, catalytic region	protein-coding	-	-	-	-	20150711	-
292	13919552	pYS10001	pYS10001	-	-	-	-	TrfA	protein-coding	-	-	-	replication initiation protein	20160827	-
292	13919799	trfA	D704_p36	-	-	-	-	trfA	protein-coding	-	-	-	trfA|Replication initiation protein	20160827	-
294	7871516	repA	pNAH20_p07	-	-	-	-	putative replication initiation protein	protein-coding	-	-	-	-	20180130	-
294	7871539	nahH	pNAH20_p53	-	-	-	-	catechol 2,3-dioxygenase	protein-coding	-	-	-	-	20180130	-
296	29350775	AV641_RS21245	AV641_RS21245	AV641_21245	-	-	-	pilus modification protein PilQ	protein-coding	-	-	-	-	20170420	-
296	29351218	AV641_RS09810	AV641_RS09810	AV641_09810	-	-	-	catechol 1,2-dioxygenase	protein-coding	-	-	-	-	20170420	-
296	29351258	AV641_RS00005	AV641_RS00005	AV641_00005	-	-	-	chromosomal replication initiation protein DnaA	protein-coding	-	-	-	-	20180223	-
296	29351376	AV641_RS22660	AV641_RS22660	AV641_22655	-	-	-	heavy metal translocating P-type ATPase	protein-coding	-	-	-	-	20170420	-
296	29351523	AV641_RS13375	AV641_RS13375	AV641_13375	-	-	-	monovalent cation/H+ antiporter subunit D	protein-coding	-	-	-	-	20170420	-
296	29351548	AV641_RS03480	AV641_RS03480	AV641_03480	-	-	-	catalase	protein-coding	-	-	-	-	20170420	-
296	29351705	AV641_RS10215	AV641_RS10215	AV641_10215	-	-	-	catalase	protein-coding	-	-	-	-	20170420	-
296	29351802	AV641_RS12050	AV641_RS12050	AV641_12050	-	-	-	magnesium-translocating P-type ATPase	protein-coding	-	-	-	-	20170420	-
296	29352003	AV641_RS12595	AV641_RS12595	AV641_12595	-	-	-	replication protein	protein-coding	-	-	-	-	20170908	-
296	29352347	AV641_RS16890	AV641_RS16890	AV641_16890	-	-	-	flagellar basal body rod modification protein FlgD	protein-coding	-	-	-	-	20180223	-
296	29352883	AV641_RS02830	AV641_RS02830	AV641_02830	-	-	-	copper-translocating P-type ATPase	protein-coding	-	-	-	-	20170420	-
296	29352980	AV641_RS00015	AV641_RS00015	AV641_00015	-	-	-	DNA replication and repair protein RecF	protein-coding	-	-	-	-	20180223	-
296	29353158	AV641_RS07580	AV641_RS07580	AV641_07580	-	-	-	catalase	protein-coding	-	-	-	-	20180223	-
296	29353231	AV641_RS16530	AV641_RS16530	AV641_16530	-	-	-	nucleobase:cation symporter	protein-coding	-	-	-	-	20180223	-
296	29353285	AV641_RS20590	AV641_RS20590	AV641_20590	-	-	-	cation diffusion facilitator transporter	protein-coding	-	-	-	-	20180223	-
296	29353333	AV641_RS03190	AV641_RS03190	AV641_03190	-	-	-	cation transporter	protein-coding	-	-	-	-	20170923	-
296	29353513	AV641_RS03655	AV641_RS03655	AV641_03655	-	-	-	type IV pilus modification protein PilV	protein-coding	-	-	-	-	20180223	-
296	29353682	AV641_RS14300	AV641_RS14300	AV641_14300	-	-	-	catechol 1,2-dioxygenase	protein-coding	-	-	-	-	20180223	-
296	29353697	actP	AV641_RS07730	AV641_07730	-	-	-	cation acetate symporter	protein-coding	-	-	-	-	20180223	-
296	29353888	AV641_RS03280	AV641_RS03280	AV641_03280	-	-	-	cation transporter	protein-coding	-	-	-	-	20170923	-
296	29354225	AV641_RS16055	AV641_RS16055	AV641_16055	-	-	-	magnesium-translocating P-type ATPase	protein-coding	-	-	-	-	20170420	-
296	29354310	AV641_RS02675	AV641_RS02675	AV641_02675	-	-	-	catalase	protein-coding	-	-	-	-	20180223	-
296	29354443	AV641_RS16600	AV641_RS16600	AV641_16600	-	-	-	translocation protein TolB	protein-coding	-	-	-	-	20170420	-
296	29354446	AV641_RS20670	AV641_RS20670	AV641_20670	-	-	-	replicative DNA helicase	protein-coding	-	-	-	-	20180223	-
296	29354565	AV641_RS00715	AV641_RS00715	AV641_00715	-	-	-	catalase HPII	protein-coding	-	-	-	-	20170420	-
296	29354750	AV641_RS03395	AV641_RS03395	AV641_03395	-	-	-	protocatechuate 3,4-dioxygenase subunit beta	protein-coding	-	-	-	-	20180223	-
296	29354918	AV641_RS03400	AV641_RS03400	AV641_03400	-	-	-	protocatechuate 3,4-dioxygenase subunit alpha	protein-coding	-	-	-	-	20180223	-
303	1218726	repA	pPP81_p4	-	-	-	-	replication protein	protein-coding	-	-	-	-	20170410	-
