"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","Brachy_341_9.fa","Brachy_738_10.fa","Brachy_862_8.fa","Brachy_876_9.fa","Brachy_900_8.fa","Brachy_908_11.fa","Brachy_947_11.fa","Brachy_962_10.fa","Brachy_JB7.fa"
"group_1028","","hypothetical protein","9","9","1","1","981","","","","512","644","623","HAJKDPKL_00339","JOIMIODL_00396","FOMIDEFL_03072","AGBMBALL_00718","LJFCBDKD_03189","DPNJBGPE_01228","DNNBHHGK_03243","MCMEOHNO_02536","NGPGJBKC_01530"
"group_1029","","hypothetical protein","9","9","1","1","4542","","","","1445","2534","2399","HAJKDPKL_02814","JOIMIODL_01082","FOMIDEFL_00895","AGBMBALL_03165","LJFCBDKD_02663","DPNJBGPE_03069","DNNBHHGK_02492","MCMEOHNO_01921","NGPGJBKC_00407"
"group_105","","hypothetical protein","9","9","1","1","4576","","","","149","149","149","HAJKDPKL_02846","JOIMIODL_01050","FOMIDEFL_00863","AGBMBALL_03196","LJFCBDKD_02695","DPNJBGPE_03037","DNNBHHGK_02523","MCMEOHNO_01953","NGPGJBKC_00375"
"clpP1_2","","hypothetical protein","9","9","1","1","3522","","","","299","1154","394","HAJKDPKL_03016","JOIMIODL_03208","FOMIDEFL_01588","AGBMBALL_02417","LJFCBDKD_02136","DPNJBGPE_02616","DNNBHHGK_01724","MCMEOHNO_00305","NGPGJBKC_00789"
"group_110","","hypothetical protein","9","9","1","1","581","","","","758","776","766","HAJKDPKL_03158","JOIMIODL_02995","FOMIDEFL_01456","AGBMBALL_02542","LJFCBDKD_03565","DPNJBGPE_02736","DNNBHHGK_01610","MCMEOHNO_00179","NGPGJBKC_01330"
"group_113","","putative protein","9","9","1","1","702","","","","455","1931","1707","HAJKDPKL_03458","JOIMIODL_03532","FOMIDEFL_02999","AGBMBALL_03393","LJFCBDKD_02265","DPNJBGPE_03424","DNNBHHGK_02668","MCMEOHNO_02935","NGPGJBKC_03506"
"ulaC","","Ascorbate-specific PTS system EIIA component","9","9","1","1","154","","","","266","1043","921","HAJKDPKL_03497","JOIMIODL_00309","FOMIDEFL_03157","AGBMBALL_02652","LJFCBDKD_02559","DPNJBGPE_02964","DNNBHHGK_02278","MCMEOHNO_02675","NGPGJBKC_01056"
"group_117","dpp5_3","Dipeptidyl-peptidase 5","9","9","1","1","171","","","","1580","2156","2082","HAJKDPKL_03512","JOIMIODL_00324","FOMIDEFL_03142","AGBMBALL_02668","LJFCBDKD_02544","DPNJBGPE_01440","DNNBHHGK_02295","MCMEOHNO_03332","NGPGJBKC_00408"
"arsR","","Arsenical resistance operon repressor","9","9","1","1","478","","","","359","359","359","HAJKDPKL_03565","JOIMIODL_00209","FOMIDEFL_00995","AGBMBALL_00772","LJFCBDKD_00340","DPNJBGPE_01699","DNNBHHGK_01569","MCMEOHNO_03045","NGPGJBKC_03356"
"azoB","","NAD(P)H azoreductase","9","9","1","1","502","","","","875","875","875","HAJKDPKL_03588","JOIMIODL_00236","FOMIDEFL_00973","AGBMBALL_00750","LJFCBDKD_00363","DPNJBGPE_01722","DNNBHHGK_01592","MCMEOHNO_03018","NGPGJBKC_03328"
"cysH","","putative phosphoadenosine phosphosulfate reductase","9","9","1","1","3294","","","","902","905","902","HAJKDPKL_02256","JOIMIODL_00852","FOMIDEFL_02589","AGBMBALL_01302","LJFCBDKD_02365","DPNJBGPE_02128","DNNBHHGK_02765","MCMEOHNO_00526","NGPGJBKC_03243"
"crgA","","Cell division protein CrgA","9","9","1","1","2440","","","","533","569","548","HAJKDPKL_02674","JOIMIODL_02629","FOMIDEFL_03475","AGBMBALL_02769","LJFCBDKD_00396","DPNJBGPE_03179","DNNBHHGK_00232","MCMEOHNO_02692","NGPGJBKC_00476"
"tri1","","Tricorn protease ","9","9","1","1","440","","","","2144","3554","3274","HAJKDPKL_01702","JOIMIODL_00184","FOMIDEFL_01020","AGBMBALL_00800","LJFCBDKD_00314","DPNJBGPE_01674","DNNBHHGK_01543","MCMEOHNO_03070","NGPGJBKC_00528"
"group_137","","hypothetical protein","9","9","1","1","4092","","","","1199","1214","1209","HAJKDPKL_00008","JOIMIODL_02850","FOMIDEFL_01322","AGBMBALL_01408","LJFCBDKD_00672","DPNJBGPE_00510","DNNBHHGK_00405","MCMEOHNO_00720","NGPGJBKC_01957"
"ohrR","","Organic hydroperoxide resistance transcriptional regulator","9","9","1","1","4139","","","","500","641","525","HAJKDPKL_00031","JOIMIODL_02873","FOMIDEFL_01299","AGBMBALL_01431","LJFCBDKD_00648","DPNJBGPE_00533","DNNBHHGK_00368","MCMEOHNO_00743","NGPGJBKC_01980"
"group_140","","hypothetical protein","9","9","1","1","4175","","","","755","767","763","HAJKDPKL_00060","JOIMIODL_02902","FOMIDEFL_01269","AGBMBALL_01461","LJFCBDKD_00619","DPNJBGPE_00563","DNNBHHGK_00338","MCMEOHNO_00772","NGPGJBKC_00100"
"gltX1","","Glutamate--tRNA ligase 1","9","9","1","1","4178","","","","938","938","938","HAJKDPKL_00062","JOIMIODL_02904","FOMIDEFL_01267","AGBMBALL_01463","LJFCBDKD_00617","DPNJBGPE_00565","DNNBHHGK_00336","MCMEOHNO_00774","NGPGJBKC_00098"
"smc_1","","Chromosome partition protein Smc","9","9","1","1","4179","","","","854","3236","2949","HAJKDPKL_00063","JOIMIODL_02905","FOMIDEFL_01266","AGBMBALL_01464","LJFCBDKD_00616","DPNJBGPE_00566","DNNBHHGK_00335","MCMEOHNO_00775","NGPGJBKC_02193"
"group_143","araQ_2","L-arabinose transport system permease protein AraQ","9","9","1","1","4201","","","","851","962","949","HAJKDPKL_00076","JOIMIODL_02920","FOMIDEFL_01251","AGBMBALL_01477","LJFCBDKD_00603","DPNJBGPE_00581","DNNBHHGK_00322","MCMEOHNO_00788","NGPGJBKC_00527"
"slmA","","Nucleoid occlusion factor SlmA","9","9","1","1","1956","","","","203","575","533","HAJKDPKL_00218","JOIMIODL_02466","FOMIDEFL_02418","AGBMBALL_01182","LJFCBDKD_02956","DPNJBGPE_01871","DNNBHHGK_01225","MCMEOHNO_02059","NGPGJBKC_03069"
"nagZ_3","","Beta-hexosaminidase","9","9","1","1","1976","","","","1502","1574","1554","HAJKDPKL_00236","JOIMIODL_02484","FOMIDEFL_02436","AGBMBALL_01164","LJFCBDKD_02938","DPNJBGPE_01889","DNNBHHGK_01207","MCMEOHNO_02041","NGPGJBKC_02607"
"group_147","","putative ABC transporter ATP-binding protein","9","9","1","1","1993","","","","926","986","958","HAJKDPKL_00252","JOIMIODL_02500","FOMIDEFL_02452","AGBMBALL_01148","LJFCBDKD_02922","DPNJBGPE_01905","DNNBHHGK_01191","MCMEOHNO_02025","NGPGJBKC_02625"
"group_148","","putative protein","9","9","1","1","1882","","","","1397","1433","1424","HAJKDPKL_00291","JOIMIODL_02539","FOMIDEFL_00251","AGBMBALL_00339","LJFCBDKD_02883","DPNJBGPE_01944","DNNBHHGK_01152","MCMEOHNO_01986","NGPGJBKC_01578"
"group_150","","hypothetical protein","9","9","1","1","979","","","","1064","1064","1064","HAJKDPKL_00337","JOIMIODL_00394","FOMIDEFL_03074","AGBMBALL_00720","LJFCBDKD_03191","DPNJBGPE_01230","DNNBHHGK_02648","MCMEOHNO_02538","NGPGJBKC_01532"
"nadC","","putative nicotinate-nucleotide pyrophosphorylase [carboxylating]","9","9","1","1","1007","","","","968","1022","1004","HAJKDPKL_00361","JOIMIODL_00413","FOMIDEFL_03055","AGBMBALL_00696","LJFCBDKD_03166","DPNJBGPE_01206","DNNBHHGK_03265","MCMEOHNO_02514","NGPGJBKC_02157"
"group_152","","hypothetical protein","9","9","1","1","1016","","","","620","650","640","HAJKDPKL_00370","JOIMIODL_00422","FOMIDEFL_03046","AGBMBALL_00687","LJFCBDKD_03157","DPNJBGPE_01197","DNNBHHGK_03274","MCMEOHNO_02505","NGPGJBKC_02148"
"neoA","","2-deoxy-scyllo-inosamine dehydrogenase","9","9","1","1","1019","","","","956","1016","1009","HAJKDPKL_00372","JOIMIODL_00424","FOMIDEFL_03044","AGBMBALL_00685","LJFCBDKD_03155","DPNJBGPE_01195","DNNBHHGK_03276","MCMEOHNO_02503","NGPGJBKC_02146"
"group_154","","Trehalase","9","9","1","1","1040","","","","464","1880","1690","HAJKDPKL_00392","JOIMIODL_01694","FOMIDEFL_03498","AGBMBALL_00671","LJFCBDKD_03141","DPNJBGPE_01181","DNNBHHGK_03290","MCMEOHNO_02489","NGPGJBKC_00544"
"nudG","","CTP pyrophosphohydrolase","9","9","1","1","1058","","","","404","404","404","HAJKDPKL_00407","JOIMIODL_01741","FOMIDEFL_02277","AGBMBALL_00818","LJFCBDKD_02805","DPNJBGPE_02460","DNNBHHGK_03042","MCMEOHNO_00612","NGPGJBKC_01224"
"scrK_1","","Fructokinase","9","9","1","1","1069","","","","950","1010","956","HAJKDPKL_00417","JOIMIODL_01751","FOMIDEFL_02287","AGBMBALL_00828","LJFCBDKD_02795","DPNJBGPE_02470","DNNBHHGK_03052","MCMEOHNO_00622","NGPGJBKC_01234"
"yclQ_2","","putative ABC transporter solute-binding protein YclQ","9","9","1","1","1082","","","","1007","1139","1100","HAJKDPKL_00430","JOIMIODL_01764","FOMIDEFL_02301","AGBMBALL_00841","LJFCBDKD_02782","DPNJBGPE_02483","DNNBHHGK_03065","MCMEOHNO_00635","NGPGJBKC_01247"
"group_159","","3-alpha-hydroxycholanate dehydrogenase (NAD(+))","9","9","1","1","1117","","","","839","839","839","HAJKDPKL_00458","JOIMIODL_01792","FOMIDEFL_02330","AGBMBALL_00870","LJFCBDKD_02753","DPNJBGPE_03224","DNNBHHGK_02220","MCMEOHNO_00664","NGPGJBKC_02414"
"dan","","D-aminoacylase","9","9","1","1","1123","","","","1742","1742","1742","HAJKDPKL_00464","JOIMIODL_01800","FOMIDEFL_02338","AGBMBALL_00877","LJFCBDKD_02748","DPNJBGPE_03231","DNNBHHGK_02215","MCMEOHNO_00671","NGPGJBKC_02408"
"group_163","","hypothetical protein","9","9","1","1","1126","","","","335","1091","923","HAJKDPKL_00467","JOIMIODL_01803","FOMIDEFL_02341","AGBMBALL_00880","LJFCBDKD_02745","DPNJBGPE_03234","DNNBHHGK_02212","MCMEOHNO_00674","NGPGJBKC_02405"
"group_164","","hypothetical protein","9","9","1","1","1144","","","","521","521","521","HAJKDPKL_00480","JOIMIODL_01816","FOMIDEFL_02363","AGBMBALL_00893","LJFCBDKD_02721","DPNJBGPE_03247","DNNBHHGK_02189","MCMEOHNO_00689","NGPGJBKC_00514"
"group_165","","hypothetical protein","9","9","1","1","1145","","","","1442","1574","1511","HAJKDPKL_00481","JOIMIODL_01817","FOMIDEFL_02160","AGBMBALL_00894","LJFCBDKD_02720","DPNJBGPE_03248","DNNBHHGK_02188","MCMEOHNO_00690","NGPGJBKC_00515"
"pepD_1","","Dipeptidase","9","9","1","1","1146","","","","1328","1598","1568","HAJKDPKL_00482","JOIMIODL_01818","FOMIDEFL_02159","AGBMBALL_00895","LJFCBDKD_02719","DPNJBGPE_03249","DNNBHHGK_02187","MCMEOHNO_00691","NGPGJBKC_00516"
"fabG_4","","3-oxoacyl-[acyl-carrier-protein] reductase FabG","9","9","1","1","1333","","","","608","761","744","HAJKDPKL_00579","JOIMIODL_00697","FOMIDEFL_01398","AGBMBALL_00979","LJFCBDKD_01384","DPNJBGPE_02355","DNNBHHGK_02425","MCMEOHNO_02308","NGPGJBKC_01517"
"group_169","","hypothetical protein","9","9","1","1","1324","","","","419","719","675","HAJKDPKL_00587","JOIMIODL_00705","FOMIDEFL_01390","AGBMBALL_00971","LJFCBDKD_01376","DPNJBGPE_02347","DNNBHHGK_02417","MCMEOHNO_02300","NGPGJBKC_02526"
"pkn1","","Serine/threonine-protein kinase pkn1","9","9","1","1","1292","","","","836","1049","929","HAJKDPKL_00614","JOIMIODL_00726","FOMIDEFL_01369","AGBMBALL_00950","LJFCBDKD_01349","DPNJBGPE_02325","DNNBHHGK_02390","MCMEOHNO_02273","NGPGJBKC_00585"
"group_171","","hypothetical protein","9","9","1","1","1278","","","","857","857","857","HAJKDPKL_00628","JOIMIODL_00736","FOMIDEFL_01359","AGBMBALL_00940","LJFCBDKD_01339","DPNJBGPE_02315","DNNBHHGK_02380","MCMEOHNO_02263","NGPGJBKC_00575"
"group_174","","hypothetical protein","9","9","1","1","3810","","","","290","290","290","HAJKDPKL_00684","JOIMIODL_02203","FOMIDEFL_00158","AGBMBALL_00183","LJFCBDKD_01868","DPNJBGPE_00018","DNNBHHGK_01013","MCMEOHNO_01606","NGPGJBKC_02983"
"group_175","","Aminoglycoside N(6')-acetyltransferase type 1","9","9","1","1","1660","","","","188","515","406","HAJKDPKL_00754","JOIMIODL_02025","FOMIDEFL_01796","AGBMBALL_00008","LJFCBDKD_01438","DPNJBGPE_00250","DNNBHHGK_01416","MCMEOHNO_01746","NGPGJBKC_02099"
"group_176","","hypothetical protein","9","9","1","1","1655","","","","236","461","436","HAJKDPKL_00759","JOIMIODL_02021","FOMIDEFL_01801","AGBMBALL_00013","LJFCBDKD_01443","DPNJBGPE_00245","DNNBHHGK_01411","MCMEOHNO_01750","NGPGJBKC_02103"
"dpp5_1","","Dipeptidyl-peptidase 5","9","9","1","1","1625","","","","2090","2090","2090","HAJKDPKL_00780","JOIMIODL_02000","FOMIDEFL_01822","AGBMBALL_00034","LJFCBDKD_01464","DPNJBGPE_00224","DNNBHHGK_01390","MCMEOHNO_01771","NGPGJBKC_02126"
"group_178","","putative protein","9","9","1","1","804","","","","1073","1181","1103","HAJKDPKL_00889","JOIMIODL_01891","FOMIDEFL_02951","AGBMBALL_00143","LJFCBDKD_01574","DPNJBGPE_00101","DNNBHHGK_01281","MCMEOHNO_01880","NGPGJBKC_00880"
"group_179","","Putative quercetin 2,3-dioxygenase","9","9","1","1","802","","","","356","1250","1137","HAJKDPKL_00890","JOIMIODL_01890","FOMIDEFL_02952","AGBMBALL_00144","LJFCBDKD_01575","DPNJBGPE_00100","DNNBHHGK_01280","MCMEOHNO_01881","NGPGJBKC_03053"
"ubiE_2","","Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE","9","9","1","1","481","","","","980","1061","1011","HAJKDPKL_03568","JOIMIODL_00212","FOMIDEFL_00992","AGBMBALL_00769","LJFCBDKD_00343","DPNJBGPE_01702","DNNBHHGK_01572","MCMEOHNO_03042","NGPGJBKC_03353"
"truA","","tRNA pseudouridine synthase A","9","9","1","1","793","","","","863","959","893","HAJKDPKL_00899","JOIMIODL_01882","FOMIDEFL_02960","AGBMBALL_00153","LJFCBDKD_03495","DPNJBGPE_00092","DNNBHHGK_01271","MCMEOHNO_01890","NGPGJBKC_03062"
"group_181","","hypothetical protein","9","9","1","1","2617","","","","626","881","663","HAJKDPKL_01020","JOIMIODL_00485","FOMIDEFL_01974","AGBMBALL_00494","LJFCBDKD_01160","DPNJBGPE_00713","DNNBHHGK_02883","MCMEOHNO_02235","NGPGJBKC_02889"
"yesO_1","","Putative ABC transporter substrate-binding protein YesO","9","9","1","1","2622","","","","1406","1412","1407","HAJKDPKL_01025","JOIMIODL_00490","FOMIDEFL_01979","AGBMBALL_00499","LJFCBDKD_01155","DPNJBGPE_00718","DNNBHHGK_02878","MCMEOHNO_02240","NGPGJBKC_02894"
"group_183","","hypothetical protein","9","9","1","1","2662","","","","581","605","583","HAJKDPKL_01065","JOIMIODL_00529","FOMIDEFL_02018","AGBMBALL_00539","LJFCBDKD_01116","DPNJBGPE_00757","DNNBHHGK_00563","MCMEOHNO_01174","NGPGJBKC_02935"
"kmtR","","HTH-type transcriptional regulator KmtR","9","9","1","1","2664","","","","458","476","460","HAJKDPKL_01067","JOIMIODL_00531","FOMIDEFL_02020","AGBMBALL_00541","LJFCBDKD_01114","DPNJBGPE_00759","DNNBHHGK_00565","MCMEOHNO_01172","NGPGJBKC_02937"
"mshD_3","","Mycothiol acetyltransferase","9","9","1","1","2671","","","","1097","1124","1100","HAJKDPKL_01074","JOIMIODL_00538","FOMIDEFL_02027","AGBMBALL_00548","LJFCBDKD_01107","DPNJBGPE_00766","DNNBHHGK_00572","MCMEOHNO_01165","NGPGJBKC_03169"
"group_186","","hypothetical protein","9","9","1","1","2677","","","","434","731","698","HAJKDPKL_01079","JOIMIODL_00543","FOMIDEFL_02032","AGBMBALL_00553","LJFCBDKD_01102","DPNJBGPE_00771","DNNBHHGK_00577","MCMEOHNO_01160","NGPGJBKC_03174"
"group_188","","hypothetical protein","9","9","1","1","2721","","","","788","941","841","HAJKDPKL_01121","JOIMIODL_00585","FOMIDEFL_02074","AGBMBALL_00595","LJFCBDKD_01060","DPNJBGPE_00814","DNNBHHGK_00619","MCMEOHNO_01118","NGPGJBKC_02450"
"group_189","","hypothetical protein","9","9","1","1","2735","","","","275","275","275","HAJKDPKL_01135","JOIMIODL_00599","FOMIDEFL_02088","AGBMBALL_00609","LJFCBDKD_01046","DPNJBGPE_00828","DNNBHHGK_00633","MCMEOHNO_01104","NGPGJBKC_02464"
"group_190","","hypothetical protein","9","9","1","1","2750","","","","476","551","492","HAJKDPKL_01150","JOIMIODL_00614","FOMIDEFL_02103","AGBMBALL_00624","LJFCBDKD_01031","DPNJBGPE_00843","DNNBHHGK_00648","MCMEOHNO_01089","NGPGJBKC_02479"
"rlmAII","","23S rRNA (guanine(748)-N(1))-methyltransferase","9","9","1","1","2799","","","","956","1055","994","HAJKDPKL_01194","JOIMIODL_01539","FOMIDEFL_00284","AGBMBALL_01779","LJFCBDKD_00987","DPNJBGPE_00889","DNNBHHGK_00693","MCMEOHNO_01519","NGPGJBKC_02067"
"selB","","Selenocysteine-specific elongation factor","9","9","1","1","2851","","","","1790","1790","1790","HAJKDPKL_01247","JOIMIODL_01487","FOMIDEFL_00336","AGBMBALL_01726","LJFCBDKD_00934","DPNJBGPE_00942","DNNBHHGK_00745","MCMEOHNO_01467","NGPGJBKC_01042"
"ypbG","","putative protein YpbG","9","9","1","1","899","","","","434","896","755","HAJKDPKL_01301","JOIMIODL_02368","FOMIDEFL_02244","AGBMBALL_03006","LJFCBDKD_01996","DPNJBGPE_01328","DNNBHHGK_02619","MCMEOHNO_01712","NGPGJBKC_02712"
"rpfC","","Resuscitation-promoting factor RpfC","9","9","1","1","4068","","","","200","1070","971","HAJKDPKL_01425","JOIMIODL_01644","FOMIDEFL_00095","AGBMBALL_01806","LJFCBDKD_01720","DPNJBGPE_00484","DNNBHHGK_00425","MCMEOHNO_02789","NGPGJBKC_01602"
"group_195","","hypothetical protein","9","9","1","1","4039","","","","1196","1802","1716","HAJKDPKL_01442","JOIMIODL_01612","FOMIDEFL_00063","AGBMBALL_01838","LJFCBDKD_01737","DPNJBGPE_00467","DNNBHHGK_00442","MCMEOHNO_02806","NGPGJBKC_00277"
"yycB_1","","putative transporter YycB","9","9","1","1","4019","","","","1250","1334","1299","HAJKDPKL_01462","JOIMIODL_01592","FOMIDEFL_00043","AGBMBALL_01858","LJFCBDKD_01757","DPNJBGPE_00447","DNNBHHGK_00462","MCMEOHNO_02826","NGPGJBKC_00297"
"cytR_6","","HTH-type transcriptional repressor CytR","9","9","1","1","3978","","","","557","839","807","HAJKDPKL_01502","JOIMIODL_01552","FOMIDEFL_00003","AGBMBALL_01899","LJFCBDKD_01797","DPNJBGPE_01827","DNNBHHGK_00503","MCMEOHNO_02866","NGPGJBKC_03440"
"group_201","araQ_10","L-arabinose transport system permease protein AraQ","9","9","1","1","3168","","","","458","923","871","HAJKDPKL_01556","JOIMIODL_01210","FOMIDEFL_00613","AGBMBALL_02023","LJFCBDKD_03241","DPNJBGPE_02835","DNNBHHGK_01075","MCMEOHNO_00990","NGPGJBKC_01877"
"mazG","","Nucleoside triphosphate pyrophosphohydrolase","9","9","1","1","2061","","","","677","854","826","HAJKDPKL_01639","JOIMIODL_02108","FOMIDEFL_03402","AGBMBALL_03300","LJFCBDKD_03005","DPNJBGPE_02919","DNNBHHGK_01934","MCMEOHNO_03094","NGPGJBKC_01794"
"mug","","G/U mismatch-specific DNA glycosylase","9","9","1","1","4318","","","","650","1313","818","HAJKDPKL_01655","JOIMIODL_03614","FOMIDEFL_01175","AGBMBALL_02594","LJFCBDKD_01638","DPNJBGPE_01405","DNNBHHGK_03184","MCMEOHNO_00864","NGPGJBKC_03472"
"group_204","","hypothetical protein","9","9","1","1","439","","","Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits","695","983","727","HAJKDPKL_01703","JOIMIODL_00183","FOMIDEFL_01021","AGBMBALL_00801","LJFCBDKD_00313","DPNJBGPE_01673","DNNBHHGK_01542","MCMEOHNO_03072","NGPGJBKC_03197"
"ydaF_2","","Putative ribosomal N-acetyltransferase YdaF","9","9","1","1","401","","","","890","1127","1059","HAJKDPKL_01735","JOIMIODL_00151","FOMIDEFL_01053","AGBMBALL_01944","LJFCBDKD_00279","DPNJBGPE_01640","DNNBHHGK_01949","MCMEOHNO_01067","NGPGJBKC_02596"
"hutI_1","","Imidazolonepropionase","9","9","1","1","394","","","","224","1364","1222","HAJKDPKL_01742","JOIMIODL_00142","FOMIDEFL_01062","AGBMBALL_01937","LJFCBDKD_00272","DPNJBGPE_01633","DNNBHHGK_01956","MCMEOHNO_01060","NGPGJBKC_01154"
"group_207","","hypothetical protein","9","9","1","1","350","","","","956","965","960","HAJKDPKL_01775","JOIMIODL_00108","FOMIDEFL_00852","AGBMBALL_01905","LJFCBDKD_00077","DPNJBGPE_01600","DNNBHHGK_01989","MCMEOHNO_01026","NGPGJBKC_01200"
"group_208","","hypothetical protein","9","9","1","1","334","","","","1130","1166","1144","HAJKDPKL_01791","JOIMIODL_00092","FOMIDEFL_00836","AGBMBALL_01109","LJFCBDKD_00064","DPNJBGPE_01584","DNNBHHGK_02005","MCMEOHNO_00010","NGPGJBKC_01213"
"group_209","","hypothetical protein","9","9","1","1","319","","","","857","878","861","HAJKDPKL_01805","JOIMIODL_00078","FOMIDEFL_00822","AGBMBALL_01095","LJFCBDKD_00050","DPNJBGPE_01570","DNNBHHGK_02019","MCMEOHNO_00024","NGPGJBKC_03410"
"group_210","","hypothetical protein","9","9","1","1","316","","","","323","875","801","HAJKDPKL_01807","JOIMIODL_00076","FOMIDEFL_00820","AGBMBALL_01093","LJFCBDKD_00048","DPNJBGPE_01568","DNNBHHGK_02021","MCMEOHNO_00026","NGPGJBKC_00968"
"group_211","","hypothetical protein","9","9","1","1","300","","","","332","398","365","HAJKDPKL_01823","JOIMIODL_00060","FOMIDEFL_00804","AGBMBALL_01077","LJFCBDKD_00032","DPNJBGPE_01552","DNNBHHGK_02037","MCMEOHNO_00042","NGPGJBKC_00984"
"chvE_2","","Multiple sugar-binding periplasmic receptor ChvE","9","9","1","1","226","","","","926","1157","1131","HAJKDPKL_01891","JOIMIODL_00372","FOMIDEFL_03103","AGBMBALL_02708","LJFCBDKD_02496","DPNJBGPE_01489","DNNBHHGK_02343","MCMEOHNO_03440","NGPGJBKC_01666"
"araQ_16","","L-arabinose transport system permease protein AraQ","9","9","1","1","221","","","","794","920","906","HAJKDPKL_01896","JOIMIODL_00367","FOMIDEFL_03108","AGBMBALL_02703","LJFCBDKD_02501","DPNJBGPE_01484","DNNBHHGK_02338","MCMEOHNO_03445","NGPGJBKC_02302"
"araC_2","","Arabinose operon regulatory protein","9","9","1","1","194","","","","473","845","789","HAJKDPKL_01917","JOIMIODL_00346","FOMIDEFL_03120","AGBMBALL_02691","LJFCBDKD_02522","DPNJBGPE_01463","DNNBHHGK_02317","MCMEOHNO_03310","NGPGJBKC_02327"
"ectD","","Ectoine dioxygenase","9","9","1","1","193","","","","536","941","858","HAJKDPKL_01918","JOIMIODL_00345","FOMIDEFL_03121","AGBMBALL_02690","LJFCBDKD_02523","DPNJBGPE_01462","DNNBHHGK_02316","MCMEOHNO_03311","NGPGJBKC_02328"
"group_221","","hypothetical protein","9","9","1","2","31","","","","1094","1976","1867","HAJKDPKL_01927","JOIMIODL_03433","FOMIDEFL_02829","AGBMBALL_02257","LJFCBDKD_00086","DPNJBGPE_00268","DNNBHHGK_00019","MCMEOHNO_02463","NGPGJBKC_01326"
