Function	Enzyme_EC	KO	gene	gene2	gene3
 alpha-2-macroglobulin		K03910	A2M		
 alpha-1,3-galactosyltransferase 2 	2.4.1.87	K20736	A3GALT2		
 alpha-1,3-galactosyltransferase 2 	2.4.1.87	K20736	A3GALT2		
 lactosylceramide 4-alpha-galactosyltransferase 	2.4.1.228	K01988	A4GALT		
 lactosylceramide 4-alpha-galactosyltransferase 	2.4.1.228	K01988	A4GALT		
 lactosylceramide 4-alpha-galactosyltransferase 	2.4.1.228	K01988	A4GALT		
 alpha 1,4-N-acetylglucosaminyltransferase 	2.4.1.-	K08251	A4GNT		
 cyanidin 3-O-glucoside 5-O-glucosyltransferase (acyl-glucose) 	2.4.1.299	K17194	AA5GT		
 cyanidin 3-O-glucoside 7-O-glucosyltransferase (acyl-glucose) 	2.4.1.300	K17192	AA7GT		
 aladin		K14320	AAAS		
 aladin		K14320	AAAS		
 aminoglycoside 2'-N-acetyltransferase I 	2.3.1.59	K17840	aac2-I		
 aminoglycoside 3-N-acetyltransferase I 	2.3.1.60	K03395	aac3-I		
 aminoglycoside 3-N-acetyltransferase II 	2.3.1.81	K19275	aac3-II		
 aminoglycoside 3-N-acetyltransferase IV 	2.3.1.81	K19276	aac3-IV		
 aminoglycoside 3-N-acetyltransferase VI 	2.3.1.81	K19277	aac3-VI		
 aminoglycoside 6'-N-acetyltransferase I 	2.3.1.82	K18815	aac6-I		
 aminoglycoside 6'-N-acetyltransferase I 	2.3.1.82	K18816	aac6-I	aacA7	
 aminoglycoside 6'-N-acetyltransferase Ib 	2.3.1.82	K19278	aac6-Ib		
 aminoglycoside 6'-N-acetyltransferase II 	2.3.1.82	K19301	aac6-II		
 aminoglycoside 6'-N-acetyltransferase 	2.3.1.82	K00663	aacA		
 bifunctional aminoglycoside 6'-N-acetyltransferase / aminoglycoside 2''-phosphotransferase 	2.3.1.82 2.7.1.190	K19883	aacA-aphD		
 aminoglycoside 3-N-acetyltransferase 	2.3.1.81	K00662	aacC		
 acetoacetyl-CoA synthetase 	6.2.1.16	K01907	AACS	acsA	
 acetoacetyl-CoA synthetase 	6.2.1.16	K01907	AACS	acsA	
 acetoacetyl-CoA synthetase 	6.2.1.16	K01907	AACS	acsA	
 streptomycin 3"-adenylyltransferase 	2.7.7.47	K00984	aadA		
 arylacetamide deacetylase 	3.1.1.3	K13616	AADAC		
 arylacetamide deacetylase-like 2 	3.1.1.-	K14350	AADACL2		
 arylacetamide deacetylase-like 3/4 	3.1.1.-	K14351	AADACL3_4		
 kynurenine/2-aminoadipate aminotransferase 	2.6.1.7 2.6.1.39	K00825	AADAT	KAT2	
 kynurenine/2-aminoadipate aminotransferase 	2.6.1.7 2.6.1.39	K00825	AADAT	KAT2	
 kynurenine/2-aminoadipate aminotransferase 	2.6.1.7 2.6.1.39	K00825	AADAT	KAT2	
 kynurenine/2-aminoadipate aminotransferase 	2.6.1.7 2.6.1.39	K00825	AADAT	KAT2	
 aminoglycoside 2''-adenylyltransferase 	2.7.7.46	K17881	aadB		
 phenylalanine decarboxylase 	4.1.1.53	K22427	AADC		
 kanamycin nucleotidyltransferase 	2.7.7.-	K17882	aadD	knt	maeA
 aminoglycoside 6-adenylyltransferase 	2.7.7.-	K05593	aadK		maeA
 acetylajmaline esterase 	3.1.1.80	K21026	AAE		
 acyl-activating enzyme 14 	6.2.1.26	K14760	AAE14		
 oxalate---CoA ligase 	6.2.1.8	K22133	AAE3		
 acetate---CoA ligase 	6.2.1.1	K01913	AAE7	ACN1	
 acetate---CoA ligase 	6.2.1.1	K01913	AAE7	ACN1	
 acetate---CoA ligase 	6.2.1.1	K01913	AAE7	ACN1	icd
 p-hydroxybenzoic acid efflux pump subunit AaeA		K15548	aaeA		icd
 p-hydroxybenzoic acid efflux pump subunit AaeB		K03468	aaeB		icd
 LysR family transcriptional regulator, transcriptional activator for aaeXAB operon		K21698	aaeR		icd
 protein AaeX		K21695	aaeX		
 AP2-associated kinase 	2.7.11.1	K08853	AAK		
 AP2-associated kinase 	2.7.11.1	K08853	AAK		gntZ
 anthranilate O-methyltransferase 	2.1.1.277	K21485	AAMT		gntZ
 arylalkylamine N-acetyltransferase 	2.3.1.87	K00669	AANAT		
 indole-3-acetaldehyde oxidase 	1.2.3.7	K11817	AAO1_2		
 abscisic-aldehyde oxidase 	1.2.3.14	K09842	AAO3		
 benzaldehyde dehydrogenase (NAD+) / indole-3-acetaldehyde oxidase 	1.2.1.28 1.2.3.7	K22417	AAO4		
 general L-amino acid transport system substrate-binding protein		K09969	aapJ	bztA	
 general L-amino acid transport system substrate-binding protein		K09969	aapJ	bztA	
 general L-amino acid transport system permease protein		K09971	aapM	bztC	
 general L-amino acid transport system permease protein		K09971	aapM	bztC	
 general L-amino acid transport system ATP-binding protein 	3.6.3.-	K09972	aapP	bztD	
 general L-amino acid transport system ATP-binding protein 	3.6.3.-	K09972	aapP	bztD	
 general L-amino acid transport system permease protein		K09970	aapQ	bztB	
 general L-amino acid transport system permease protein		K09970	aapQ	bztB	
 A1 cistron-splicing factor AAR2		K13205	AAR2	C20orf4	
 succinyl-CoA:acetate CoA-transferase 	2.8.3.18	K18118	aarC	cat1	
 succinyl-CoA:acetate CoA-transferase 	2.8.3.18	K18118	aarC	cat1	
 succinyl-CoA:acetate CoA-transferase 	2.8.3.18	K18118	aarC	cat1	
 alanyl-tRNA synthetase 	6.1.1.7	K01872	AARS	alaS	
 alanyl-tRNA synthetase 	6.1.1.7	K01872	AARS	alaS	
 alanyl-tRNA synthetase 	6.1.1.7	K01872	AARS	alaS	
 misacylated tRNA(Ala) deacylase 	3.1.1.-	K07050	AARSD1	ALAX	
 acyl-	acyl-carrier-protein-phospholipid O-acyltransferase / long-chain-fatty-acid--	K05939	aas		
 acyl-	acyl-carrier-protein-phospholipid O-acyltransferase / long-chain-fatty-acid--	K05939	aas		
 acyl-CoA synthetase 	6.2.1.-	K00142	AASDH		
 alpha-aminoadipic semialdehyde synthase 	1.5.1.8 1.5.1.9	K14157	AASS		
 leucyl/phenylalanyl-tRNA---protein transferase 	2.3.2.6	K00684	aat		
 protein AATF/BFR2		K14782	AATF	BFR2	
 lemur tyrosine kinase 1 	2.7.10.1	K17480	AATK	LMTK1	
 lemur tyrosine kinase 1 	2.7.10.1	K17480	AATK	LMTK1	
 aralkylamine dehydrogenase light chain 	1.4.9.2	K13371	aauA		
 aralkylamine dehydrogenase light chain 	1.4.9.2	K13371	aauA		
 aralkylamine dehydrogenase light chain 	1.4.9.2	K13371	aauA		
 aralkylamine dehydrogenase heavy chain 	1.4.9.2	K13372	aauB		
 aralkylamine dehydrogenase heavy chain 	1.4.9.2	K13372	aauB		
 aralkylamine dehydrogenase heavy chain 	1.4.9.2	K13372	aauB		
 two-component system, response regulator AauR		K17061	aauR		
 two-component system, response regulator AauR		K17061	aauR		
 two-component system, sensor histidine kinase AauS 	2.7.13.3	K17060	aauS		
 two-component system, sensor histidine kinase AauS 	2.7.13.3	K17060	aauS		
 xanthoxin dehydrogenase 	1.1.1.288	K09841	ABA2		
 molybdenum cofactor sulfurtransferase 	2.8.1.9	K15631	ABA3		
 4-aminobutyrate aminotransferase / (S)-3-amino-2-methylpropionate transaminase 	2.6.1.19 2.6.1.22	K13524	ABAT		
 4-aminobutyrate aminotransferase / (S)-3-amino-2-methylpropionate transaminase 	2.6.1.19 2.6.1.22	K13524	ABAT		
 4-aminobutyrate aminotransferase / (S)-3-amino-2-methylpropionate transaminase 	2.6.1.19 2.6.1.22	K13524	ABAT		
 4-aminobutyrate aminotransferase / (S)-3-amino-2-methylpropionate transaminase 	2.6.1.19 2.6.1.22	K13524	ABAT		
 4-aminobutyrate aminotransferase / (S)-3-amino-2-methylpropionate transaminase 	2.6.1.19 2.6.1.22	K13524	ABAT		
 4-aminobutyrate aminotransferase / (S)-3-amino-2-methylpropionate transaminase 	2.6.1.19 2.6.1.22	K13524	ABAT		
 4-aminobutyrate aminotransferase / (S)-3-amino-2-methylpropionate transaminase 	2.6.1.19 2.6.1.22	K13524	ABAT		
 ABC-2 type transport system ATP-binding protein		K01990	ABC-2.A		
 capsular polysaccharide transport system ATP-binding protein 	3.6.3.38	K09689	ABC-2.CPSE.A		
 capsular polysaccharide transport system ATP-binding protein 	3.6.3.38	K09689	ABC-2.CPSE.A		
 capsular polysaccharide transport system permease protein		K09688	ABC-2.CPSE.P		
 capsular polysaccharide transport system permease protein		K09688	ABC-2.CPSE.P		
 capsular polysaccharide transport system permease protein		K10107	ABC-2.CPSE.P1		
 capsular polysaccharide transport system permease protein		K10107	ABC-2.CPSE.P1		
 multidrug/hemolysin transport system ATP-binding protein		K11050	ABC-2.CYL.A	cylA	
 multidrug/hemolysin transport system ATP-binding protein		K11050	ABC-2.CYL.A	cylA	
 multidrug/hemolysin transport system permease protein		K11051	ABC-2.CYL.P	cylB	
 multidrug/hemolysin transport system permease protein		K11051	ABC-2.CYL.P	cylB	
 lipopolysaccharide transport system ATP-binding protein		K09691	ABC-2.LPSE.A		
 lipopolysaccharide transport system ATP-binding protein		K09691	ABC-2.LPSE.A		
 lipopolysaccharide transport system permease protein		K09690	ABC-2.LPSE.P		
 lipopolysaccharide transport system permease protein		K09690	ABC-2.LPSE.P		
 ABC-2 type transport system permease protein		K01992	ABC-2.P		
 HlyD family secretion protein		K01993	ABC-2.TX		
 lysine/arginine/ornithine transport system substrate-binding protein		K10013	ABC.ARG.S	argT	
 lysine/arginine/ornithine transport system substrate-binding protein		K10013	ABC.ARG.S	argT	
 mitochondrial ABC transporter ATM		K05663	ABC.ATM		
 mitochondrial ABC transporter ATM		K05663	ABC.ATM		
 putative ABC transport system ATP-binding protein		K02003	ABC.CD.A		
 putative ABC transport system permease protein		K02004	ABC.CD.P		
 HlyD family secretion protein		K02005	ABC.CD.TX		fadB
 cystine transport system ATP-binding protein 	3.6.3.-	K10010	ABC.CYST.A		fadB
 cystine transport system ATP-binding protein 	3.6.3.-	K10010	ABC.CYST.A		fadB
 cystine transport system permease protein		K10009	ABC.CYST.P		
 cystine transport system permease protein		K10009	ABC.CYST.P		
 iron complex transport system ATP-binding protein 	3.6.3.34	K02013	ABC.FEV.A		
 iron complex transport system ATP-binding protein 	3.6.3.34	K02013	ABC.FEV.A		
 iron complex transport system permease protein		K02015	ABC.FEV.P		
 iron complex transport system permease protein		K02015	ABC.FEV.P		
 iron complex transport system substrate-binding protein		K02016	ABC.FEV.S		
 iron complex transport system substrate-binding protein		K02016	ABC.FEV.S		
 putative multiple sugar transport system ATP-binding protein 	3.6.3.17	K10548	ABC.GGU.A	gguA	
 putative multiple sugar transport system ATP-binding protein 	3.6.3.17	K10548	ABC.GGU.A	gguA	
 putative multiple sugar transport system permease protein		K10547	ABC.GGU.P	gguB	
 putative multiple sugar transport system permease protein		K10547	ABC.GGU.P	gguB	
 putative multiple sugar transport system substrate-binding protein		K10546	ABC.GGU.S	chvE	
 putative multiple sugar transport system substrate-binding protein		K10546	ABC.GGU.S	chvE	
 glucose/arabinose transport system ATP-binding protein		K10199	ABC.GLC.A		
 glucose/arabinose transport system ATP-binding protein		K10199	ABC.GLC.A		
 glucose/arabinose transport system permease protein		K10197	ABC.GLC.P		
 glucose/arabinose transport system permease protein		K10197	ABC.GLC.P		
 glucose/arabinose transport system permease protein		K10198	ABC.GLC.P1		
 glucose/arabinose transport system permease protein		K10198	ABC.GLC.P1		
 glucose/arabinose transport system substrate-binding protein		K10196	ABC.GLC.S		
 glucose/arabinose transport system substrate-binding protein		K10196	ABC.GLC.S		
 putative glutamine transport system ATP-binding protein 	3.6.3.-	K10041	ABC.GLN1.A		
 putative glutamine transport system ATP-binding protein 	3.6.3.-	K10041	ABC.GLN1.A		
 putative glutamine transport system permease protein		K10040	ABC.GLN1.P		
 putative glutamine transport system permease protein		K10040	ABC.GLN1.P		
 putative glutamine transport system substrate-binding protein		K10039	ABC.GLN1.S		
 putative glutamine transport system substrate-binding protein		K10039	ABC.GLN1.S		
 manganese/iron transport system ATP-binding protein		K09820	ABC.MN.A		
 manganese/iron transport system permease protein		K09819	ABC.MN.P		
 manganese/iron transport system substrate-binding protein		K09818	ABC.MN.S		
 putative ABC transport system ATP-binding protein		K02021	ABC.MR		
 HlyD family secretion protein		K02022	ABC.MR.TX		
 multiple sugar transport system permease protein		K02025	ABC.MS.P		
 multiple sugar transport system permease protein		K02026	ABC.MS.P1		
 multiple sugar transport system substrate-binding protein		K02027	ABC.MS.S		
 N-acetylglucosamine transport system permease protein		K10201	ABC.NGC.P		
 N-acetylglucosamine transport system permease protein		K10201	ABC.NGC.P		
 N-acetylglucosamine transport system permease protein		K10202	ABC.NGC.P1		
 N-acetylglucosamine transport system permease protein		K10202	ABC.NGC.P1		
 N-acetylglucosamine transport system substrate-binding protein		K10200	ABC.NGC.S		
 N-acetylglucosamine transport system substrate-binding protein		K10200	ABC.NGC.S		
 polar amino acid transport system ATP-binding protein 	7.4.2.1	K02028	ABC.PA.A		
 polar amino acid transport system permease protein		K02029	ABC.PA.P		
 polar amino acid transport system substrate-binding protein		K02030	ABC.PA.S		
 peptide/nickel transport system ATP-binding protein		K02031	ABC.PE.A		
 peptide/nickel transport system ATP-binding protein		K02031	ABC.PE.A		
 peptide/nickel transport system ATP-binding protein		K02032	ABC.PE.A1		
 peptide/nickel transport system ATP-binding protein		K02032	ABC.PE.A1		
 peptide/nickel transport system permease protein		K02033	ABC.PE.P		
 peptide/nickel transport system permease protein		K02033	ABC.PE.P		
 peptide/nickel transport system permease protein		K02034	ABC.PE.P1		
 peptide/nickel transport system permease protein		K02034	ABC.PE.P1		
 peptide/nickel transport system substrate-binding protein		K02035	ABC.PE.S		
 peptide/nickel transport system substrate-binding protein		K02035	ABC.PE.S		
 NitT/TauT family transport system ATP-binding protein		K02049	ABC.SN.A		
 NitT/TauT family transport system permease protein		K02050	ABC.SN.P		
 NitT/TauT family transport system substrate-binding protein		K02051	ABC.SN.S		
 putative spermidine/putrescine transport system ATP-binding protein		K02052	ABC.SP.A		
 putative spermidine/putrescine transport system ATP-binding protein		K02052	ABC.SP.A		
 putative spermidine/putrescine transport system permease protein		K02053	ABC.SP.P		
 putative spermidine/putrescine transport system permease protein		K02053	ABC.SP.P		adhC
 putative spermidine/putrescine transport system permease protein		K02054	ABC.SP.P1		adhC
 putative spermidine/putrescine transport system permease protein		K02054	ABC.SP.P1		adhC
 putative spermidine/putrescine transport system substrate-binding protein		K02055	ABC.SP.S		adhC
 putative spermidine/putrescine transport system substrate-binding protein		K02055	ABC.SP.S		adhC
 simple sugar transport system ATP-binding protein 	3.6.3.17	K02056	ABC.SS.A		adhC
 simple sugar transport system permease protein		K02057	ABC.SS.P		adhC
 simple sugar transport system substrate-binding protein		K02058	ABC.SS.S		adhC
 vitamin B12 transport system ATP-binding protein 	3.6.3.33	K06074	ABC.VB12.A	btuD	adhC
 vitamin B12 transport system ATP-binding protein 	3.6.3.33	K06074	ABC.VB12.A	btuD	adhC
 vitamin B12 transport system permease protein		K06073	ABC.VB12.P	btuC	
 vitamin B12 transport system permease protein		K06073	ABC.VB12.P	btuC	
 vitamin B12 transport system substrate-binding protein		K06858	ABC.VB12.S1	btuF	fdwA
 vitamin B12 transport system substrate-binding protein		K06858	ABC.VB12.S1	btuF	fdwA
 putative thiamine transport system ATP-binding protein		K05779	ABC.VB1X.A		
 putative thiamine transport system permease protein		K05778	ABC.VB1X.P		
 putative thiamine transport system substrate-binding protein		K05777	ABC.VB1X.S		
 putative ABC transport system ATP-binding protein		K02068	ABC.X2.A		
 putative ABC transport system permease protein		K02069	ABC.X2.P		
 putative ABC transport system ATP-binding protein		K05833	ABC.X4.A		
 putative ABC transport system permease protein		K05832	ABC.X4.P		
 putative ABC transport system substrate-binding protein		K01989	ABC.X4.S		
 zinc/manganese transport system ATP-binding protein		K02074	ABC.ZM.A		
 zinc/manganese transport system permease protein		K02075	ABC.ZM.P		
 zinc/manganese transport system substrate-binding protein		K02077	ABC.ZM.S		
 ATP-binding cassette, subfamily B, bacterial AbcA/BmrA 	7.6.2.2	K18104	abcA	bmrA	
 ATP-binding cassette, subfamily B, bacterial AbcA/BmrA 	7.6.2.2	K18104	abcA	bmrA	
 ATP-binding cassette, subfamily B, bacterial AbcA/BmrA 	7.6.2.2	K18104	abcA	bmrA	
 ATP-binding cassette, subfamily B, bacterial AbcA/BmrA 	7.6.2.2	K18104	abcA	bmrA	
 ATP-binding cassette, subfamily A (ABC1), member 1		K05641	ABCA1		
 ATP-binding cassette, subfamily A (ABC1), member 1		K05641	ABCA1		
 ATP-binding cassette, subfamily A (ABC1), member 1		K05641	ABCA1		
 ATP-binding cassette, subfamily A (ABC1), member 1		K05641	ABCA1		
 ATP-binding cassette, subfamily A (ABC1), member 10		K05652	ABCA10		
 ATP-binding cassette, subfamily A (ABC1), member 10		K05652	ABCA10		
 ATP-binding cassette, subfamily A (ABC1), member 12		K05646	ABCA12		
 ATP-binding cassette, subfamily A (ABC1), member 12		K05646	ABCA12		
 ATP binding cassette, subfamily A (ABC1), member 13		K05647	ABCA13		
 ATP binding cassette, subfamily A (ABC1), member 13		K05647	ABCA13		
 ATP-binding cassette, subfamily A (ABC1), member 2		K05642	ABCA2		
 ATP-binding cassette, subfamily A (ABC1), member 2		K05642	ABCA2		
 ATP-binding cassette, subfamily A (ABC1), member 2		K05642	ABCA2		
 ATP-binding cassette, subfamily A (ABC1), member 3		K05643	ABCA3		
 ATP-binding cassette, subfamily A (ABC1), member 3		K05643	ABCA3		
 ATP-binding cassette, subfamily A (ABC1), member 4		K05644	ABCA4		
 ATP-binding cassette, subfamily A (ABC1), member 4		K05644	ABCA4		
 ATP-binding cassette, subfamily A (ABC1), member 5		K05648	ABCA5		
 ATP-binding cassette, subfamily A (ABC1), member 5		K05648	ABCA5		
 ATP-binding cassette, subfamily A (ABC1), member 6		K05649	ABCA6		
 ATP-binding cassette, subfamily A (ABC1), member 6		K05649	ABCA6		
 ATP-binding cassette, subfamily A (ABC1), member 7		K05645	ABCA7		
 ATP-binding cassette, subfamily A (ABC1), member 7		K05645	ABCA7		
 ATP-binding cassette, subfamily A (ABC1), member 8		K05650	ABCA8		
 ATP-binding cassette, subfamily A (ABC1), member 8		K05650	ABCA8		
 ATP-binding cassette, subfamily A (ABC1), member 9		K05651	ABCA9		
 ATP-binding cassette, subfamily A (ABC1), member 9		K05651	ABCA9		
 ATP-binding cassette, subfamily B, bacterial		K06147	ABCB-BAC		
 ATP-binding cassette, subfamily B (MDR/TAP), member 1 	7.6.2.2	K05658	ABCB1	CD243	
 ATP-binding cassette, subfamily B (MDR/TAP), member 1 	7.6.2.2	K05658	ABCB1	CD243	
 ATP-binding cassette, subfamily B (MDR/TAP), member 1 	7.6.2.2	K05658	ABCB1	CD243	
 ATP-binding cassette, subfamily B (MDR/TAP), member 1 	7.6.2.2	K05658	ABCB1	CD243	
 ATP-binding cassette, subfamily B (MDR/TAP), member 1 	7.6.2.2	K05658	ABCB1	CD243	
 ATP-binding cassette, subfamily B (MDR/TAP), member 1 	7.6.2.2	K05658	ABCB1	CD243	
 ATP-binding cassette, subfamily B (MDR/TAP), member 1 	7.6.2.2	K05658	ABCB1	CD243	
 ATP-binding cassette, subfamily B (MDR/TAP), member 10		K05657	ABCB10		
 ATP-binding cassette, subfamily B (MDR/TAP), member 10		K05657	ABCB10		
 ATP-binding cassette, subfamily B (MDR/TAP), member 11		K05664	ABCB11		
 ATP-binding cassette, subfamily B (MDR/TAP), member 11		K05664	ABCB11		
 ATP-binding cassette, subfamily B (MDR/TAP), member 11		K05664	ABCB11		
 ATP-binding cassette, subfamily B (MDR/TAP), member 11		K05664	ABCB11		ALDH6A1
 ATP-binding cassette, subfamily B (MDR/TAP), member 11		K05664	ABCB11		ALDH6A1
 ATP-binding cassette, subfamily B (MDR/TAP), member 11		K05664	ABCB11		ALDH6A1
 ATP-binding cassette, subfamily B (MDR/TAP), member 2		K05653	ABCB2	TAP1	ALDH6A1
 ATP-binding cassette, subfamily B (MDR/TAP), member 2		K05653	ABCB2	TAP1	
 ATP-binding cassette, subfamily B (MDR/TAP), member 2		K05653	ABCB2	TAP1	
 ATP-binding cassette, subfamily B (MDR/TAP), member 2		K05653	ABCB2	TAP1	
 ATP-binding cassette, subfamily B (MDR/TAP), member 2		K05653	ABCB2	TAP1	
 ATP-binding cassette, subfamily B (MDR/TAP), member 2		K05653	ABCB2	TAP1	
 ATP-binding cassette, subfamily B (MDR/TAP), member 2		K05653	ABCB2	TAP1	
 ATP-binding cassette, subfamily B (MDR/TAP), member 2		K05653	ABCB2	TAP1	
 ATP-binding cassette, subfamily B (MDR/TAP), member 3		K05654	ABCB3	TAP2	
 ATP-binding cassette, subfamily B (MDR/TAP), member 3		K05654	ABCB3	TAP2	
 ATP-binding cassette, subfamily B (MDR/TAP), member 3		K05654	ABCB3	TAP2	
 ATP-binding cassette, subfamily B (MDR/TAP), member 3		K05654	ABCB3	TAP2	
 ATP-binding cassette, subfamily B (MDR/TAP), member 3		K05654	ABCB3	TAP2	
 ATP-binding cassette, subfamily B (MDR/TAP), member 3		K05654	ABCB3	TAP2	
 ATP-binding cassette, subfamily B (MDR/TAP), member 3		K05654	ABCB3	TAP2	
 ATP-binding cassette, subfamily B (MDR/TAP), member 3		K05654	ABCB3	TAP2	
 ATP-binding cassette, subfamily B (MDR/TAP), member 4 	7.6.2.2	K05659	ABCB4		
 ATP-binding cassette, subfamily B (MDR/TAP), member 4 	7.6.2.2	K05659	ABCB4		
 ATP-binding cassette, subfamily B (MDR/TAP), member 4 	7.6.2.2	K05659	ABCB4		
 ATP-binding cassette, subfamily B (MDR/TAP), member 5		K05660	ABCB5		
 ATP-binding cassette, subfamily B (MDR/TAP), member 5		K05660	ABCB5		
 ATP-binding cassette, subfamily B (MDR/TAP), member 6		K05661	ABCB6		
 ATP-binding cassette, subfamily B (MDR/TAP), member 6		K05661	ABCB6		
 ATP-binding cassette, subfamily B (MDR/TAP), member 7		K05662	ABCB7		
 ATP-binding cassette, subfamily B (MDR/TAP), member 7		K05662	ABCB7		
 ATP-binding cassette, subfamily B (MDR/TAP), member 8		K05655	ABCB8		
 ATP-binding cassette, subfamily B (MDR/TAP), member 8		K05655	ABCB8		
 ATP-binding cassette, subfamily B (MDR/TAP), member 9		K05656	ABCB9	TAPL	
 ATP-binding cassette, subfamily B (MDR/TAP), member 9		K05656	ABCB9	TAPL	
 ATP-binding cassette, subfamily B (MDR/TAP), member 9		K05656	ABCB9	TAPL	
 ATP-binding cassette, subfamily C, bacterial		K06148	ABCC-BAC		
 ATP-binding cassette, subfamily C (CFTR/MRP), member 1		K05665	ABCC1		
 ATP-binding cassette, subfamily C (CFTR/MRP), member 1		K05665	ABCC1		
 ATP-binding cassette, subfamily C (CFTR/MRP), member 1		K05665	ABCC1		
 ATP-binding cassette, subfamily C (CFTR/MRP), member 1		K05665	ABCC1		
 ATP-binding cassette, subfamily C (CFTR/MRP), member 1		K05665	ABCC1		
 ATP-binding cassette, subfamily C (CFTR/MRP), member 1		K05665	ABCC1		
 ATP-binding cassette, subfamily C (CFTR/MRP), member 10		K05674	ABCC10		
 ATP-binding cassette, subfamily C (CFTR/MRP), member 10		K05674	ABCC10		
 ATP-binding cassette, subfamily C (CFTR/MRP), member 11		K05671	ABCC11		
 ATP-binding cassette, subfamily C (CFTR/MRP), member 11		K05671	ABCC11		
 ATP-binding cassette, subfamily C (CFTR/MRP), member 12		K05672	ABCC12		
 ATP-binding cassette, subfamily C (CFTR/MRP), member 12		K05672	ABCC12		
 ATP-binding cassette, subfamily C (CFTR/MRP), member 13		K05670	ABCC13		
 ATP-binding cassette, subfamily C (CFTR/MRP), member 13		K05670	ABCC13		
 ATP-binding cassette, subfamily C (CFTR/MRP), member 2		K05666	ABCC2		
 ATP-binding cassette, subfamily C (CFTR/MRP), member 2		K05666	ABCC2		
 ATP-binding cassette, subfamily C (CFTR/MRP), member 2		K05666	ABCC2		
 ATP-binding cassette, subfamily C (CFTR/MRP), member 2		K05666	ABCC2		
 ATP-binding cassette, subfamily C (CFTR/MRP), member 2		K05666	ABCC2		
 ATP-binding cassette, subfamily C (CFTR/MRP), member 3		K05667	ABCC3		
 ATP-binding cassette, subfamily C (CFTR/MRP), member 3		K05667	ABCC3		
 ATP-binding cassette, subfamily C (CFTR/MRP), member 3		K05667	ABCC3		
 ATP-binding cassette, subfamily C (CFTR/MRP), member 3		K05667	ABCC3		
 ATP-binding cassette, subfamily C (CFTR/MRP), member 4		K05673	ABCC4		
 ATP-binding cassette, subfamily C (CFTR/MRP), member 4		K05673	ABCC4		
