gene	com_862	Gene	Non.unique.Gene.name	Annotation	No..isolates	No..sequences	Avg.sequences.per.isolate	Genome.Fragment	Order.within.Fragment	Accessory.Fragment	Accessory.Order.with.Fragment	QC	Min.group.size.nuc	Max.group.size.nuc	Avg.group.size.nuc	com_341.fna	com_738.fna	com_862.fna	com_876.fna	com_900.fna	com_908.fna	com_947.fna	com_962.fna	com_JB.fna
mutL	1	mutL		DNA mismatch repair protein MutL	9	9	1	2	4008	NA	NA		1949	1949	1949	GOJPHPBD_09512	DEIPBNHI_08695	LBLIGOHA_08485	IIFCLKFN_09580	BOFCGCOL_08771	KJABKPCK_08186	KLLDKJAP_08036	HHDJLLAI_09314	IFEKPJDH_08814
mutT2	1	mutT2		Putative 8-oxo-dGTP diphosphatase 2	9	9	1	1	1419	NA	NA		470	470	470	GOJPHPBD_03683	DEIPBNHI_02434	LBLIGOHA_03607	IIFCLKFN_02859	BOFCGCOL_03589	KJABKPCK_03535	KLLDKJAP_03251	HHDJLLAI_00143	IFEKPJDH_00704
nepA	1	nepA		Nicotine metabolites export pump subunit NepA	1	1	1	51	19	1262	20		329	329	329			LBLIGOHA_03272						
nodA	1	nodA		Nodulation protein A	1	1	1	1	7037	1625	1		554	554	554			LBLIGOHA_05115						
nucH	1	nucH		Thermonuclease	8	8	1	2	4030	259	1		530	530	530	GOJPHPBD_09532	DEIPBNHI_08715	LBLIGOHA_08505	IIFCLKFN_09600	BOFCGCOL_08791	KJABKPCK_08206	KLLDKJAP_08056	HHDJLLAI_09334	
nudI	1	nudI		Nucleoside triphosphatase NudI	1	1	1	1	1462	4	10		362	362	362			LBLIGOHA_03637						
otsA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
phoC	1	phoC		Major phosphate-irrepressible acid phosphatase	1	1	1	1	1002	1642	2		1322	1322	1322			LBLIGOHA_01242						
puuR	1	puuR		HTH-type transcriptional regulator PuuR	9	9	1	1	6442	NA	NA		587	587	587	GOJPHPBD_06908	DEIPBNHI_06104	LBLIGOHA_03751	IIFCLKFN_04308	BOFCGCOL_05057	KJABKPCK_04582	KLLDKJAP_05727	HHDJLLAI_06819	IFEKPJDH_04820
sapB	1	sapB		Protein SapB	9	9	1	1	229	NA	NA		728	728	728	GOJPHPBD_02956	DEIPBNHI_02848	LBLIGOHA_01703	IIFCLKFN_02354	BOFCGCOL_02265	KJABKPCK_02546	KLLDKJAP_01851	HHDJLLAI_00408	IFEKPJDH_02294
soxR	1	soxR		Redox-sensitive transcriptional activator SoxR	9	9	1	1	1956	NA	NA		470	470	470	GOJPHPBD_02892	DEIPBNHI_01054	LBLIGOHA_00861	IIFCLKFN_03249	BOFCGCOL_02741	KJABKPCK_03063	KLLDKJAP_02576	HHDJLLAI_01984	IFEKPJDH_00236
spoIIIE	1	spoIIIE		DNA translocase SpoIIIE	1	1	1	2	1527	1618	1		1328	1328	1328			LBLIGOHA_10337						
tarJ	1	tarJ		Ribulose-5-phosphate reductase 1	9	9	1	2	1891	NA	NA		872	1028	1010	GOJPHPBD_07506	DEIPBNHI_08224	LBLIGOHA_08055	IIFCLKFN_08878	BOFCGCOL_07620	KJABKPCK_09238	KLLDKJAP_07611	HHDJLLAI_09033	IFEKPJDH_07710
tnsB	1	tnsB		hypothetical protein	2	2	1	2	527	3	477		182	1442	812	GOJPHPBD_09015				BOFCGCOL_10111				
ugpA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ydiO	1	ydiO		putative BsuMI modification methylase subunit YdiO	1	1	1	98	3	1624	4		1139	1139	1139			LBLIGOHA_07165						
yfdE	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
yfiY	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
