gene	com_341	Gene	Non.unique.Gene.name	Annotation	No..isolates	No..sequences	Avg.sequences.per.isolate	Genome.Fragment	Order.within.Fragment	Accessory.Fragment	Accessory.Order.with.Fragment	QC	Min.group.size.nuc	Max.group.size.nuc	Avg.group.size.nuc	com_341.fna	com_738.fna	com_862.fna	com_876.fna	com_900.fna	com_908.fna	com_947.fna	com_962.fna	com_JB.fna
ccpA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cocE	1	cocE		Cocaine esterase	1	1	1	2	1084	3	373		1688	1688	1688	GOJPHPBD_09669								
copG	1	copG		Protein CopG	3	3	1	26	1	370	1	Investigate	143	143	143	GOJPHPBD_10043			IIFCLKFN_10122					IFEKPJDH_07542
crtK-2	1	crtK-2		Tryptophan-rich protein TspO	2	2	1	1	1348	1	917		569	569	569	GOJPHPBD_05402								IFEKPJDH_05575
crtM	1	crtM		Dehydrosqualene synthase	1	1	1	2	1346	219	11		833	833	833	GOJPHPBD_09805								
crtP	1	crtP		Diapolycopene oxygenase	1	1	1	2	1344	219	9		1490	1490	1490	GOJPHPBD_09807								
crtQ	1	crtQ		4,4'-diaponeurosporenoate glycosyltransferase	1	1	1	2	1345	219	10		1112	1112	1112	GOJPHPBD_09806								
cshC	1	cshC		DEAD-box ATP-dependent RNA helicase CshC	1	1	1	1	3352	5	155		2075	2075	2075	GOJPHPBD_00543								
cycB	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
dapb3	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ddpA	1	ddpA		putative D,D-dipeptide-binding periplasmic protein DdpA	7	7	1	1	10097	8	50		1565	1565	1565	GOJPHPBD_05122			IIFCLKFN_05346	BOFCGCOL_05433	KJABKPCK_06506	KLLDKJAP_04076	HHDJLLAI_04159	IFEKPJDH_07097
degA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
dhbF	1	dhbF		Dimodular nonribosomal peptide synthase	2	2	1	1	5180	1	203		1679	3581	2630								HHDJLLAI_07351	IFEKPJDH_05670
dinG	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
dld	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
dpaL	1	dpaL		Diaminopropionate ammonia-lyase	1	1	1	1	9496	1	1956		1121	1121	1121	GOJPHPBD_06571								
fadR	1	fadR		Fatty acid metabolism regulator protein	9	9	1	1	5406	NA	NA		605	605	605	GOJPHPBD_07319	DEIPBNHI_07189	LBLIGOHA_06565	IIFCLKFN_06274	BOFCGCOL_07245	KJABKPCK_06890	KLLDKJAP_06366	HHDJLLAI_07006	IFEKPJDH_07006
fes	1	fes		Enterochelin esterase	9	9	1	1	1146	NA	NA		1295	1295	1295	GOJPHPBD_01443	DEIPBNHI_01662	LBLIGOHA_00099	IIFCLKFN_01831	BOFCGCOL_01748	KJABKPCK_00492	KLLDKJAP_00430	HHDJLLAI_02824	IFEKPJDH_01636
fokIM	1	fokIM		Modification methylase FokI	1	1	1	1	5666	1	498		1058	1058	1058	GOJPHPBD_07264								
ganB	1	ganB		Arabinogalactan endo-beta-1,4-galactanase	1	1	1	1	2740	328	7		1685	1685	1685	GOJPHPBD_00394								
gloB	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
glsA1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gpmA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hpxO	1	hpxO		FAD-dependent urate hydroxylase	1	1	1	2	1085	3	374		1163	1163	1163	GOJPHPBD_09668								
iolA	1	iolA		Malonate-semialdehyde dehydrogenase	1	1	1	2	942	45	17		1454	1454	1454	GOJPHPBD_08782								
iolB	1	iolB		5-deoxy-glucuronate isomerase	9	9	1	1	1884	NA	NA		980	1004	1001	GOJPHPBD_03347	DEIPBNHI_00987	LBLIGOHA_01736	IIFCLKFN_02935	BOFCGCOL_00510	KJABKPCK_02303	KLLDKJAP_01464	HHDJLLAI_00074	IFEKPJDH_03191
iolC	1	iolC		5-dehydro-2-deoxygluconokinase	9	9	1	1	1886	NA	NA		1034	1034	1034	GOJPHPBD_03345	DEIPBNHI_00989	LBLIGOHA_01738	IIFCLKFN_02933	BOFCGCOL_00508	KJABKPCK_02301	KLLDKJAP_01466	HHDJLLAI_00076	IFEKPJDH_03189
iolD	1	iolD		3D-(3,5/4)-trihydroxycyclohexane-1,2-dione hydrolase	9	9	1	1	1891	NA	NA		1910	1910	1910	GOJPHPBD_03340	DEIPBNHI_00994	LBLIGOHA_01743	IIFCLKFN_02928	BOFCGCOL_00503	KJABKPCK_02296	KLLDKJAP_01471	HHDJLLAI_00081	IFEKPJDH_03184
iolE	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
iolG	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
iolJ	1	iolJ		6-phospho-5-dehydro-2-deoxy-D-gluconate aldolase	1	1	1	2	938	45	21		845	845	845	GOJPHPBD_08786								
lacE	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lipO	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lpxG	1	lpxG		UDP-2,3-diacylglucosamine pyrophosphatase LpxG	1	1	1	1	6372	198	1		971	971	971	GOJPHPBD_07041								
marR	1	marR		Multiple antibiotic resistance protein MarR	9	9	1	1	9559	NA	NA		494	494	494	GOJPHPBD_05853	DEIPBNHI_04782	LBLIGOHA_06649	IIFCLKFN_05983	BOFCGCOL_07083	KJABKPCK_05119	KLLDKJAP_04216	HHDJLLAI_06475	IFEKPJDH_03723
mmcO	1	mmcO		Multicopper oxidase MmcO	1	1	1	1	110	213	5		1502	1502	1502	GOJPHPBD_03068								
nolA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nudG	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ohrR	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
orn	1	orn		Oligoribonuclease	9	9	1	1	4025	NA	NA		569	605	593	GOJPHPBD_05909	DEIPBNHI_04716	LBLIGOHA_04238	IIFCLKFN_05926	BOFCGCOL_07026	KJABKPCK_05063	KLLDKJAP_04274	HHDJLLAI_06419	IFEKPJDH_03780
pepD	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
pgtP	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
phnV	1	phnV		Putative 2-aminoethylphosphonate transport system permease protein PhnV	1	1	1	44	2	425	1	Investigate	1199	1199	1199	GOJPHPBD_03732								
php	1	php		Phosphotriesterase homology protein	6	6	1	1	5522	13	14		959	959	959	GOJPHPBD_06255		LBLIGOHA_06720		BOFCGCOL_06794	KJABKPCK_06809	KLLDKJAP_06448		IFEKPJDH_05965
phrA	1	phrA		Deoxyribodipyrimidine photo-lyase	5	5	1	1	1353	1	828		1499	1499	1499				IIFCLKFN_05488	BOFCGCOL_03973	KJABKPCK_05535	KLLDKJAP_06960	HHDJLLAI_06120	
plaP	1	plaP		Low-affinity putrescine importer PlaP	1	1	1	1	9090	47	5		437	437	437	GOJPHPBD_06983								
ptrB	1	ptrB		Protease 2	1	1	1	1	1396	1	890		1865	1865	1865	GOJPHPBD_05378								
repB	1	repB		Replication protein RepB	3	3	1	26	2	370	2	Investigate	572	572	572	GOJPHPBD_10042			IIFCLKFN_10123					IFEKPJDH_07541
repE	1	repE		Replication initiation protein	1	1	1	2	744	3	179		854	854	854	GOJPHPBD_08997								
ripB	1	ripB		Peptidoglycan endopeptidase RipB	9	9	1	1	11108	NA	NA		878	887	882	GOJPHPBD_02727	DEIPBNHI_02646	LBLIGOHA_03007	IIFCLKFN_00267	BOFCGCOL_03256	KJABKPCK_03340	KLLDKJAP_03533	HHDJLLAI_02911	IFEKPJDH_03142
rmpA	1	rmpA		3-hexulose-6-phosphate synthase	1	1	1	1	3382	5	62		623	623	623	GOJPHPBD_00672								
rmpB	1	rmpB		3-hexulose-6-phosphate isomerase	1	1	1	1	3383	5	63		572	572	572	GOJPHPBD_00673								
tfdS	1	tfdS		HTH-type transcriptional regulator TfdS	6	6	1	1	4776	1	701		914	986	953	GOJPHPBD_05260			IIFCLKFN_05427	BOFCGCOL_07120	KJABKPCK_06045	KLLDKJAP_07287	HHDJLLAI_06544	
tmcA	1	tmcA		tRNA(Met) cytidine acetyltransferase TmcA	1	1	1	30	3	380	3		1115	1115	1115	GOJPHPBD_03728								
ycjP	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
yidK	1	yidK		putative symporter YidK	1	1	1	2	946	45	13		1601	1601	1601	GOJPHPBD_08778								
ykvP	1	ykvP		Spore protein YkvP	2	2	1	1	8817	1	304		1892	1892	1892					BOFCGCOL_07197		KLLDKJAP_06185		
yteP	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
yydI	1	yydI		putative peptide export ATP-binding protein YydI	1	1	1	2	1335	402	2		632	632	632	GOJPHPBD_09536								
yydJ	1	yydJ		putative peptide export permease protein YydJ	1	1	1	2	1334	402	1		722	722	722	GOJPHPBD_09537								
