gene	com_947	Gene	Non.unique.Gene.name	Annotation	No..isolates	No..sequences	Avg.sequences.per.isolate	Genome.Fragment	Order.within.Fragment	Accessory.Fragment	Accessory.Order.with.Fragment	QC	Min.group.size.nuc	Max.group.size.nuc	Avg.group.size.nuc	com_341.fna	com_738.fna	com_862.fna	com_876.fna	com_900.fna	com_908.fna	com_947.fna	com_962.fna	com_JB.fna
nikB	1	nikB		Nickel transport system permease protein NikB	9	9	1	2	1991	NA	NA		977	977	977	GOJPHPBD_07429	DEIPBNHI_09635	LBLIGOHA_09535	IIFCLKFN_08962	BOFCGCOL_07542	KJABKPCK_09324	KLLDKJAP_07525	HHDJLLAI_09494	IFEKPJDH_08282
nosF	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ntdC	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
oprF	1	oprF		Outer membrane porin F	1	1	1	1	1530	1732	1		1538	1538	1538							KLLDKJAP_02328		
otcC	1	otcC		Anhydrotetracycline monooxygenase	1	1	1	230	2	1727	6		1445	1445	1445							KLLDKJAP_07252		
pbuE	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
pcaU	1	pcaU		Pca operon regulatory protein	1	1	1	1	5597	1	269		701	701	701							KLLDKJAP_06164		
pimB	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rbsK	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rbtD	1	rbtD		Ribitol 2-dehydrogenase	1	1	1	1	5496	13	61		482	482	482							KLLDKJAP_06474		
rhaR	1	rhaR		HTH-type transcriptional activator RhaR	7	7	1	1	10089	8	58		923	923	923	GOJPHPBD_05129	DEIPBNHI_07319	LBLIGOHA_04751		BOFCGCOL_05440	KJABKPCK_06499	KLLDKJAP_04069		IFEKPJDH_07090
ripA	1	ripA		HTH-type transcriptional regulator RipA	7	7	1	1	10849	17	27		1589	1589	1589	GOJPHPBD_03687	DEIPBNHI_02790	LBLIGOHA_03582	IIFCLKFN_03076		KJABKPCK_07174		HHDJLLAI_03404	IFEKPJDH_06119
srkA	1	srkA		hypothetical protein	9	9	1	2	4477	NA	NA		794	794	794	GOJPHPBD_08604	DEIPBNHI_09044	LBLIGOHA_08916	IIFCLKFN_07677	BOFCGCOL_08236	KJABKPCK_08619	KLLDKJAP_09173	HHDJLLAI_08446	IFEKPJDH_09324
tetA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
thcB	1	thcB		Cytochrome P450 116	1	1	1	1	5314	1	1238		2333	2333	2333							KLLDKJAP_06707		
thrB	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
virC1	1	virC1		Protein virC1	1	1	1	1	5305	1	1229		638	638	638							KLLDKJAP_06698		
viuB	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
vldH	1	vldH		Validoxylamine A 7'-phosphate phosphatase	9	9	1	2	1660	NA	NA		644	647	646	GOJPHPBD_07716	DEIPBNHI_08614	LBLIGOHA_08267	IIFCLKFN_08674	BOFCGCOL_07830	KJABKPCK_07710	KLLDKJAP_09278	HHDJLLAI_08822	IFEKPJDH_07852
wbpA	1	wbpA		UDP-N-acetyl-D-glucosamine 6-dehydrogenase	1	1	1	2	1259	2	243		1274	1274	1274							KLLDKJAP_09640		
wfgD	1	wfgD		UDP-Glc:alpha-D-GlcNAc-diphosphoundecaprenol beta-1,3-glucosyltransferase WfgD	1	1	1	2	1255	2	239		788	788	788							KLLDKJAP_09636		
xecD	1	xecD		2-(R)-hydroxypropyl-CoM dehydrogenase	1	1	1	1	5322	1	1246		800	800	800							KLLDKJAP_06715		
yokF	1	yokF		SPBc2 prophage-derived endonuclease YokF	1	1	1	1	11915	12	94		569	569	569							KLLDKJAP_00533		
yycE	1	yycE		putative protein YycE	1	1	1	1	9143	40	7		266	266	266							KLLDKJAP_03969		
